author|0|body_xml
anna_batrasova|2013/06/06 05:28:25|
iabbliz|2013/06/06 05:28:29|Добрый день
iabbliz|2013/06/06 05:28:48|Можете написать как сделаете УЛ-05, чтобы смог дальше делать.
anna_batrasova|2013/06/06 05:29:14|добрый день
anna_batrasova|2013/06/06 05:29:33|уже сделала, там только интерфейсы остались
anna_batrasova|2013/06/06 05:29:41|сейчас тогда помещу в хранилище
iabbliz|2013/06/06 05:30:45|ок, спасибо.
anna_batrasova|2013/06/06 05:31:17|все, поместила
anna_batrasova|2013/06/06 05:31:36|сам документ нужен? я пока оставила захват
iabbliz|2013/06/06 05:32:29|поидее нет
anna_batrasova|2013/06/06 05:32:35|ок
iabbliz|2013/06/06 06:15:16|в этом ТП что делали, 
был регистр  «Причины закрытия заявок на отгрузку».
iabbliz|2013/06/06 06:15:23|?
anna_batrasova|2013/06/06 06:16:16|создавала документ &quot;Закрытие заявок на отгрузку&quot;, регистр был уже в хранилище
iabbliz|2013/06/06 06:16:26|а он так называется?=)
anna_batrasova|2013/06/06 06:16:47|РС рздПричиныЗакрытияЗаявокНаОтгрузку
anna_batrasova|2013/06/06 06:16:52|
anna_batrasova|2013/06/06 06:16:53|
anna_batrasova|2013/06/06 06:16:55|
anna_batrasova|2013/06/06 06:17:29|вот так называется
iabbliz|2013/06/06 06:17:44|спс
iabbliz|2013/06/07 06:02:32|Привет
iabbliz|2013/06/07 06:02:44|Тебе закрытие заявки на отгрузку на долго нужна?
anna_batrasova|2013/06/07 06:05:01|привет
anna_batrasova|2013/06/07 06:05:07|пока ничего не делаю с ней
anna_batrasova|2013/06/07 06:05:08|отпустила
iabbliz|2013/06/17 04:43:00|Доброе утро
iabbliz|2013/06/17 04:43:06|Корень надолго захватили?
anna_batrasova|2013/06/17 04:43:19|доброе утро
anna_batrasova|2013/06/17 04:43:41|нет, мейчас помещу и отпущу, минут 5 максимум
iabbliz|2013/06/17 04:43:45|ок
iabbliz|2013/06/17 04:44:53|а еще интерфейс Управление продажами
iabbliz|2013/06/17 04:44:53|=)
anna_batrasova|2013/06/17 04:46:25|ок, уже помещаю, подвис немного
anna_batrasova|2013/06/17 04:49:12|корень отпустила
iabbliz|2013/06/17 04:49:17|спс
anna_batrasova|2013/06/17 04:51:40|интерфейс тоже
iabbliz|2013/06/17 04:53:20|спасибо
anna_batrasova|2013/06/17 04:53:38|пожалуйста
