author|0|body_xml
annterra2|2013/06/25 08:09:58|
iabbliz|2013/06/25 08:12:19|Добрый день. Можете подсказать по базе Документооборот
iabbliz|2013/06/25 08:12:56|Можно ли в ней настроить ограничение для пользователя таким образом чтобы допустим были видны только его Письма
iabbliz|2013/06/25 08:13:03|типовым методом всмысле
iabbliz|2013/06/25 08:13:32|или точнее Письма определенного адресата
iabbliz|2013/06/25 08:13:42|приходящие с одного домена
annterra2|2013/06/25 08:13:50|да в доступных учетных записях
annterra2|2013/06/25 08:14:15|мин базу открою
iabbliz|2013/06/25 08:14:49|можем говорить о нашей базе учета
annterra2|2013/06/25 08:15:31|а в нашей разве не легкий почтовый клиент стоит?
iabbliz|2013/06/25 08:15:46|честно говоря не знаю
annterra2|2013/06/25 08:15:50|в Дтт есть два режима почты легкая и полноценнаа
annterra2|2013/06/25 08:15:57|я*
iabbliz|2013/06/25 08:16:01|так
annterra2|2013/06/25 08:16:17|так вот легкая для рассылки уведомлений но не с работой с почтовым клиентом
iabbliz|2013/06/25 08:17:39|отсюда следует что ограничение на Входящие письма и Исходящие письма можно/нельзя настроить?
annterra2|2013/06/25 08:17:59|мин в терминал войду
annterra2|2013/06/25 08:18:11|говорить по скайпу можешь?
iabbliz|2013/06/25 08:18:14|да
iabbliz|2013/06/25 08:22:28|тут смотрю еще есть Группы доступа корреспондентов это не то?
iabbliz|2013/07/17 06:46:58|эм?
annterra2|2013/07/17 06:47:12|глянь письмо от Димы
iabbliz|2013/07/17 06:47:14|увидел
annterra2|2013/07/17 06:47:21|там запрос на обновление от клиента
iabbliz|2013/07/17 08:12:30|Еще нужны сведения о версии платформы 1с, скорей всего у них старая
iabbliz|2013/07/17 08:13:49|Аня а еще вопрос то время которое уйдет на оценку трудозатрат, можно куда то отразить?
iabbliz|2013/07/17 08:14:06|просто чтобы оценить тоже время надо, и не мало от 1.5 часов скорей всего
iabbliz|2013/07/17 09:46:52|еще интересует мне надо только обновить их cf ник?
iabbliz|2013/07/17 09:47:04|или надо будет подключаться к ним и накатывать обновления?
annterra2|2013/07/17 09:48:15|выясню через час после совещания
iabbliz|2013/07/17 11:06:14|еще надо узнать Серверная у них база или файловая.
и как подключаются пользователи к базе, локально с компьютера или сначала заходят на терминал и оттуда запускают 1с
iabbliz|2013/07/17 11:12:46|отправил на почту трудозатраты
annterra2|2013/07/17 11:13:38|ок
annterra2|2013/07/17 11:13:45|он что то не отвечает...
iabbliz|2013/07/17 11:15:00|в случае если надо будет обновлять у них на сервере
еще надо чтобы был Удаленный доступ к их серверу, и удаленный доступ к терминалу
annterra2|2013/07/17 11:15:16|ага
annterra2|2013/07/17 11:31:29|а ты в нее включил затраты на саму оценку 1,5 ч?
iabbliz|2013/07/17 11:32:05|да
annterra2|2013/07/17 11:32:14|ответ клиента отправила на почту
annterra2|2013/07/17 11:32:32|ок, тогда я ему озвучиваю оценку 12 ч.
iabbliz|2013/07/17 11:33:28|я согласен <ss type="smile">:)</ss>
