author|0|body_xml
iabbliz|2013/05/27 13:29:05|Привет
iabbliz|2013/05/27 13:29:26|Есть ошибка при проведении документа реализации
iabbliz|2013/05/27 13:29:26|<quote author="ellizia2012" authorname="Зиатдинова Эльвира" conversation="ellizia2012" guid="x5ad6379dada00fade7be4b4a85020dc1cacf5b794059897c4b2ee8d1f85dd62f" timestamp="1369660700"><legacyquote>[17:18:20] Зиатдинова Эльвира: </legacyquote>{ОбщийМодуль.кругОбщий.Модуль(1546)}: Преобразование значения к типу Число не может быть выполнено
  НоваяСтрока.Количество = -Строка.Количество;<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
artemmis88|2013/05/27 13:29:27|
iabbliz|2013/05/27 13:29:35|<quote author="ellizia2012" authorname="Зиатдинова Эльвира" conversation="ellizia2012" guid="xc94ea0b97a3ad9fce3149268a4b16a25f5047eb000f89ebf0fbf486d81a72583" timestamp="1369660714"><legacyquote>[17:18:34] Зиатдинова Эльвира: </legacyquote>при проведении РТУ А1-00012386<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/05/27 13:29:42|Максим просил самому не править ваши модули
iabbliz|2013/05/27 13:30:07|отсюда вопрос Сам исправляю? или Вы подправите?
iabbliz|2013/05/27 13:30:17|говорят срочно надо
artemmis88|2013/05/27 13:30:37|а чем там ошибка, т.к. там стоит блокировка (должна на колво строк)
iabbliz|2013/05/27 13:30:58|еще раз?
artemmis88|2013/05/27 13:31:31|Если (ТЗ.Количество()=0)ИЛИ(ТЗ2.Количество()=0) Тогда
artemmis88|2013/05/27 13:31:39|вот это есть в рабочей базе
iabbliz|2013/05/27 13:31:50|попробуйте зайти в документ
iabbliz|2013/05/27 13:31:56|заполнить и провести
iabbliz|2013/05/27 13:31:59|в рабочей базе
iabbliz|2013/05/27 13:32:08|это условие не помогает
artemmis88|2013/05/27 13:32:44|тогда надо войти в отадчик
iabbliz|2013/05/27 13:32:53|давайте выйду
iabbliz|2013/05/27 13:33:32|вышел
artemmis88|2013/05/27 13:33:54|ок, захожу
iabbliz|2013/05/27 13:34:55|<quote author="iabbliz" authorname="Антон Иванов" conversation="artemmis88" guid="x6376bbd21f4ea8917415307cc8f2e2996ae290de51f3f56ddfe9ae09770da42d" timestamp="1369661375"><legacyquote>[17:29:35] Антон Иванов: </legacyquote>А1-00012386<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>Необходимо зайти в него нажать заполнить по заказу, провести
artemmis88|2013/05/27 13:35:20|да, я понял, уже попробовал, поэтому и отладчик потребовался
