author|0|body_xml
iabbliz|2013/09/10 10:51:12|Привет. Ты захватил Отчет «Мониторинг исполнения производственных заданий в хранилище
iabbliz|2013/09/10 10:51:20|можешь положить обратно его
ayalyaev|2013/09/10 11:10:18|
ayalyaev|2013/09/10 11:16:22|Поместил
iabbliz|2013/09/10 11:16:37|сп
iabbliz|2013/09/10 11:16:39|спс
ayalyaev|2013/09/10 11:16:41|пжл
iabbliz|2013/09/10 11:16:53|=)
ayalyaev|2013/09/10 11:17:04|<ss type="wink">;)</ss>
iabbliz|2013/10/01 13:07:59|Привет
iabbliz|2013/10/01 13:08:12|Можешь выйти из базы: 
Srvr=&quot;localhost&quot;;Ref=&quot;Biaxplen_logistika&quot;;
iabbliz|2013/10/01 13:08:14|на 5 мин
ayalyaev|2013/10/01 13:11:44|Привет, вышел
iabbliz|2013/10/01 14:27:54|отпустил ЗаданиеНаПРР
iabbliz|2013/10/09 09:43:03|Привет
iabbliz|2013/10/09 09:43:09|а ты в базе логистики?
ayalyaev|2013/10/09 09:43:26|Привет, нет
