author|0|body_xml
iabbliz|2013/02/28 09:38:09|Привет
iabbliz|2013/02/28 09:38:17|баскетбол пропустил=)
iabbliz|2013/02/28 09:38:36|слушай кинь еще раз ссылку на Диспетчер терминала
iabbliz|2013/02/28 09:38:41|как он там назывался
chubukin-dv|2013/02/28 09:39:13|работал - строю отказоустойчивость терминалов
chubukin-dv|2013/02/28 09:39:22|а что за ссылка
iabbliz|2013/02/28 09:39:40|ну где можно собирать терминалы в один список
chubukin-dv|2013/02/28 09:39:45|т.е прога где много окон теминалов
iabbliz|2013/02/28 09:39:48|да
chubukin-dv|2013/02/28 09:40:12|как твое , как жираф
iabbliz|2013/02/28 09:40:23|=)))
iabbliz|2013/02/28 09:40:30|пока пойдет=)
iabbliz|2013/02/28 09:40:37|жираф на месте
iabbliz|2013/02/28 09:41:02|4 на 5 играли
iabbliz|2013/02/28 09:41:12|6 Периодов!!!
chubukin-dv|2013/02/28 09:41:15|<a href="http://www.microsoft.com/en-US/download/details.aspx?id=21101">http://www.microsoft.com/en-US/download/details.aspx?id=21101</a>
chubukin-dv|2013/02/28 09:41:27|Ванька говорил до 150 играли
iabbliz|2013/02/28 09:41:33|Спасибо
chubukin-dv|2013/02/28 09:42:24|в след вторник постораюсь прийти - хотя я и в этот вторник собирался - но ремонт файловых шар все испортил
iabbliz|2013/04/01 07:02:50|Денис привет, у тебя оказывается ДР был а я все прошляпил.
Поздравляю с днем варенья, желаю всего самого наилучшего, денег побольше, чтобы с кредитом (если есть еще) расчитался побыстрее. Оставайся всегда таким же отвественным к тому чем занимаешься. 
 <ss type="beer">(beer)</ss>
iabbliz|2013/04/01 07:04:02|30 числа Др отмечали с родственниками у дочки.=)
chubukin-dv|2013/04/01 07:05:03|Спасибо, в общем ты сам не зная  30 за меня все же выпил
iabbliz|2013/04/01 07:05:15|ага, причем так нехило
iabbliz|2013/04/01 07:05:17|=)))
iabbliz|2013/04/01 07:05:35|в 12 сели и в 20.00 встали=)
iabbliz|2013/04/01 07:06:34|мдаа
chubukin-dv|2013/04/01 10:21:07|нашел, пасибо антон
iabbliz|2013/04/01 10:34:15|=))
iabbliz|2013/04/01 10:34:18|запрягли
chubukin-dv|2013/04/01 10:35:38|бухи захотели как нибуть нумеровать все что покупается, вот и запрегли кладовщиков нумеровать детали
chubukin-dv|2013/04/01 10:36:23|вот как то так
iabbliz|2013/04/01 10:36:29|мде
chubukin-dv|2013/04/01 10:36:53|а когда у нас было скучно
iabbliz|2013/04/01 10:38:26|ага
iabbliz|2013/05/08 14:13:07|Привет во вторник было что?
iabbliz|2013/05/09 03:58:12|да отец в больницу попал ездил к нему
iabbliz|2013/05/09 03:58:18|и по работе завал
iabbliz|2013/07/29 05:22:59|вчера норм
iabbliz|2013/07/29 05:23:07|в субботу голова чуток поболела=)
iabbliz|2013/07/29 05:23:15|более менее норм
iabbliz|2013/07/29 05:23:24|я ж перед выходом еще поел дома=)
chubukin-dv|2013/07/29 05:23:36|а я чтото всю суботу померал, хотя я тоже поел
iabbliz|2013/07/29 05:23:44|<ss type="smile">:)</ss>
chubukin-dv|2013/07/29 05:23:47|видать мало поел
iabbliz|2013/07/29 05:23:51|хорошо хоть водку не пил
iabbliz|2013/07/29 05:23:51|=)
iabbliz|2013/07/29 05:23:58|а тобы вообще плохо было
chubukin-dv|2013/07/29 05:24:44|вот тумаю что от водки мне как то легче было
iabbliz|2013/07/29 05:24:59|возможно
iabbliz|2013/07/29 05:25:07|ну с водко то и ешь много
chubukin-dv|2013/07/29 05:25:17|я тут намедни одно кинцо посмотрел..
iabbliz|2013/07/29 05:25:24|какое?
chubukin-dv|2013/07/29 05:25:49|а как думаеш.., которое ты не советовал мне смотреть
iabbliz|2013/07/29 05:25:57|=)
chubukin-dv|2013/07/29 05:27:04|твой обьективный взгляд - есть в этом чтото, смахивает на простую аутотренинговую систему - но возможно есть и раци ональное зерно
iabbliz|2013/07/29 05:27:29|это вопрос?
chubukin-dv|2013/07/29 05:27:35|ага
iabbliz|2013/07/29 05:27:54|сам решай=)
chubukin-dv|2013/07/29 05:28:26|<ss type="smile">:)</ss> в твоем духе, учитель
iabbliz|2013/07/29 05:28:34|<ss type="laugh">:D</ss>
iabbliz|2013/07/29 05:28:49|мое мнение может негативно повлиять=)
chubukin-dv|2013/07/29 05:29:15|почемуже..в чем негатив
chubukin-dv|2013/07/29 05:29:17|?
iabbliz|2013/07/29 05:29:53|всмысле негативно повлиять на твою оценку
iabbliz|2013/07/29 05:30:18|попробуй для себя сам это проверить
chubukin-dv|2013/07/29 05:32:57|<ss type="think">(think)</ss> надо еще раз посмотреть, там с торента ,откуда качал были еще пару ссылок на несколько книг этого же толка, надо почитать, а то я до этого Карлоса Кастанеду читал чуствую будет интересно в продолжение
chubukin-dv|2013/07/29 05:34:48|к стати по сколько вы с Саней скидивались когда ходили 2й раз за пивом
iabbliz|2013/07/29 05:35:15|я дал 250 руб больше не было
iabbliz|2013/07/29 05:35:20|потратили 700 помойму
chubukin-dv|2013/07/29 05:35:46|нихрена себе пивка попили..
iabbliz|2013/07/29 05:36:07|ну мы же там сосиски еще покупали=)
chubukin-dv|2013/07/29 05:36:30|да все равно, даже страшно считать сколько литров ухавали
iabbliz|2013/07/29 05:36:39|хе хе=)
chubukin-dv|2013/07/29 05:37:19|ты уже на работе <ss type="laugh">:D</ss>
iabbliz|2013/07/29 05:37:25|ага
chubukin-dv|2013/07/29 05:38:30|ладн тогда не буду отвлекать..
iabbliz|2013/07/29 05:38:53|не отвлекаешь
