author|0|body_xml
iabbliz|2013/02/11 07:03:53|Привет. Хотел еще раз спросить.
iabbliz|2013/02/11 07:04:00|ты подлкючал сканер к компьютеру?
duke-81|2013/02/11 07:04:09|да
duke-81|2013/02/11 07:04:12|привет
iabbliz|2013/02/11 07:04:40|В каком формате принимается ШК, не смотрел?
iabbliz|2013/02/11 07:04:46|есть ли префикс и т.п.?
iabbliz|2013/02/11 07:04:50|или просто 13 символов ШК
duke-81|2013/02/11 07:05:00|просто 13 символов
duke-81|2013/02/11 07:05:04|обычный сканер
duke-81|2013/02/11 07:05:09|что на штрихкоде то он и выдавал
duke-81|2013/02/11 07:05:21|он любое число символов читал
duke-81|2013/02/11 07:05:27|что напечатано
duke-81|2013/02/11 07:05:39|свою обработку я проверил
duke-81|2013/02/11 07:05:45|все печатало и читало
duke-81|2013/02/11 07:05:48|ты нашел мой код?
iabbliz|2013/02/11 07:05:53|да
iabbliz|2013/02/11 07:06:01|там подключение/отключение ТО
duke-81|2013/02/11 07:06:07|ну да
iabbliz|2013/02/11 07:06:07|и вызов стандартной функции
duke-81|2013/02/11 07:06:17|нет.
duke-81|2013/02/11 07:06:28|есть еще функция разбора
duke-81|2013/02/11 07:06:36|я же новый регистр подключал
duke-81|2013/02/11 07:06:41|под штрикоды
iabbliz|2013/02/11 07:06:44|во во
iabbliz|2013/02/11 07:06:47|где это?=)
iabbliz|2013/02/11 07:06:49|не нашел
duke-81|2013/02/11 07:06:53|ищи
iabbliz|2013/02/11 07:06:55|это в обработке обслуживания было?
duke-81|2013/02/11 07:06:58|нет
iabbliz|2013/02/11 07:07:01|хм
duke-81|2013/02/11 07:07:02|в общем модуле конечно
iabbliz|2013/02/11 07:07:06|сек еще раз гляну
duke-81|2013/02/11 07:07:35|вы хранилище починили? не в курсе?
iabbliz|2013/02/11 07:07:44|починили
iabbliz|2013/02/11 07:12:04|в общем модуле рздОбщий?
duke-81|2013/02/11 07:12:33|там формирование штрих кода
duke-81|2013/02/11 07:15:50|

Основная конфигурация Обработка.ТОСервер.Модуль объекта(3176, 18) : //+А01 Раздолье Карякин Д. 2012-11-20
duke-81|2013/02/11 07:16:01|сам не мог по фамилии поискать? <ss type="smile">:-)</ss>
iabbliz|2013/02/11 07:16:11|уже глобальный поиск запустил=)
iabbliz|2013/02/11 07:16:21|глазами пробежался не увидел, ща гляну спасибо
iabbliz|2013/02/11 07:18:34|Правильно ли понял, что в начале будет запущен поиск по обычному РС:Штрихкоды
iabbliz|2013/02/11 07:18:44|а если не найдет то будет вызов твоего запроса
duke-81|2013/02/11 07:19:05|да
duke-81|2013/02/11 07:19:12|ты же читал ТЗ
duke-81|2013/02/11 07:19:19|там же два регистра использовать сказали
iabbliz|2013/02/11 07:19:33|они не пересекаются по  ШК
duke-81|2013/02/11 07:19:39|)
iabbliz|2013/02/11 07:19:41|=)
duke-81|2013/02/11 07:19:52|этот вопрос отдан на откуп архитектора
iabbliz|2013/02/11 07:20:10|=))))
duke-81|2013/02/11 07:20:19|если пересекаются -- бедут использоватья типовой регистр
duke-81|2013/02/11 07:20:26|коллапса не будет
iabbliz|2013/02/11 13:26:36|Тут?
iabbliz|2013/02/11 13:27:03|нужен совет=)
iabbliz|2013/02/11 13:54:17|ты подключал когда нибудь Торговое оборудование не в Форме документа
iabbliz|2013/02/11 13:54:21|а Модуле приложения
iabbliz|2013/02/11 13:54:25|?
iabbliz|2013/02/11 13:54:37|Модуль обычного приложения
iabbliz|2013/02/11 13:55:10|не в Форме документа, обработки... и т.п.
duke-81|2013/02/11 14:02:40|не было такого
iabbliz|2013/02/11 14:03:06|тогда вопросов больше нет
iabbliz|2013/02/11 14:03:08|=(
duke-81|2013/02/11 14:03:40|угу(
iabbliz|2013/02/13 08:57:46|Привет
iabbliz|2013/02/13 08:58:11|Много что надо оценивать чтобы попробовать минимизировать  блокировки
iabbliz|2013/02/13 08:58:22|одназначного лекарства нет.
iabbliz|2013/02/13 08:59:01|На последнем месте работал
iabbliz|2013/02/13 08:59:08|там были проблемы с блокировками
iabbliz|2013/02/13 08:59:24|где то 1-2 потратил чтобы отследить в каком месте затык
iabbliz|2013/02/13 08:59:34|оказалось при Запросе к остаткам по партиям
iabbliz|2013/02/13 08:59:58|достаточно было перезапустить пересчет итогов по партиям
iabbliz|2013/02/13 09:00:06|тогда блокировки уменшались
duke-81|2013/02/13 09:00:09|тут при записи регистров партионного учета
iabbliz|2013/02/13 09:00:09|почти не было
iabbliz|2013/02/13 09:00:25|партионный учет ведется?
iabbliz|2013/02/13 09:00:26|УПП?
duke-81|2013/02/13 09:00:50|да
duke-81|2013/02/13 09:00:54|да
iabbliz|2013/02/13 09:01:09|релиз?
iabbliz|2013/02/13 09:01:20|могу скинуть обработку пересчета итогов по партиям
duke-81|2013/02/13 09:01:20|1.3.30.2
duke-81|2013/02/13 09:01:29|требует монопольного доступа?
iabbliz|2013/02/13 09:01:32|нет
duke-81|2013/02/13 09:01:35|давай
iabbliz|2013/02/13 09:01:37|требует захвата
duke-81|2013/02/13 09:01:37|попробую
iabbliz|2013/02/13 09:01:47|всмысле чтобы захватить таблицу
iabbliz|2013/02/13 09:01:55|короче попросить чтобы не проводили мин 5-10
duke-81|2013/02/13 09:01:59|просто я зашел в консоль сервера. там только я захватываю
duke-81|2013/02/13 09:02:02|и сам себя блокирую
duke-81|2013/02/13 09:02:06|какая то фигня
iabbliz|2013/02/13 09:02:07|хм
iabbliz|2013/02/13 09:02:10|оч странно
iabbliz|2013/02/13 09:02:25|перезапуск службы 1с?
duke-81|2013/02/13 09:02:47|речь о рабочей базе)
iabbliz|2013/02/13 09:03:11|я понял=)
duke-81|2013/02/13 09:03:35|хотя если отладчиком смотреть... Хозрасчетный заблокировн
iabbliz|2013/02/13 09:03:54|похоже это не тот случай...
iabbliz|2013/02/13 09:04:16|а Оборотка строится?
iabbliz|2013/02/13 09:04:19|Анализ счета
iabbliz|2013/02/13 09:04:20|и т.п.
iabbliz|2013/02/13 09:05:07|а еще скинь какую ошибку выдает
iabbliz|2013/02/13 09:05:10|при проведении
duke-81|2013/02/13 09:06:58|ща
duke-81|2013/02/13 09:08:27|как то нестабильно. теперь просто писать начал &quot;в данной транзакции уже происходили ошибки&quot; и без комментариев
iabbliz|2013/02/13 09:08:46|<quote author="duke-81" authorname="Денис Карякин" conversation="duke-81" guid="xbe7acacaf0e1fd66172725c6f971562f4b6b0616dc44bb5591ace4a253344cf6" timestamp="1360746507"><legacyquote>[13:08:27] Денис Карякин: </legacyquote> &quot;в данной транзакции уже происходили ошибки&quot;<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>плохие ошибки
iabbliz|2013/02/13 09:09:03|имхо лучше рестарт 1с службы и MSSQL
duke-81|2013/02/13 09:10:24|)я же не могу клиенту советовать сервер перезапускать когда у них ошибки)
iabbliz|2013/02/13 09:10:53|почему?
duke-81|2013/02/13 09:11:08|ну это всё равно что сказать что 1с это кривая система
duke-81|2013/02/13 09:11:11|неуправляемая
duke-81|2013/02/13 09:11:17|которая просто ГЛЮЧИТ
iabbliz|2013/02/13 09:11:19|хорошо не говори=)
iabbliz|2013/02/13 09:11:52|средствами 1с врятли эту ошибку решить
duke-81|2013/02/13 09:12:09|это да
duke-81|2013/02/13 09:12:25|вот если бы знать как в мс скл это можно отловить и понять
iabbliz|2013/02/13 09:13:09|у тебя какой то конретный документ не проводится?
duke-81|2013/02/13 09:13:13|да
iabbliz|2013/02/13 09:13:17|вид?
duke-81|2013/02/13 09:13:19|РТУ
iabbliz|2013/02/13 09:13:23|или конкретный номер?
duke-81|2013/02/13 09:13:34|не пробовал другие
iabbliz|2013/02/13 09:13:37|попробуй
iabbliz|2013/02/13 09:13:42|может дело в одном документе
iabbliz|2013/02/13 09:13:43|если так
duke-81|2013/02/13 09:13:44|но если снимаю галочку БУ то проводится)
iabbliz|2013/02/13 09:13:49|попробуй скопировать
iabbliz|2013/02/13 09:13:50|его
iabbliz|2013/02/13 09:13:53|и провести
iabbliz|2013/02/13 10:28:37|Реиндексация средствами 1с?
