author|0|body_xml
elmirkinskij|2013/02/11 11:16:34|Привет, рздОбщий надолго нужен?
iabbliz|2013/02/11 11:17:02|Привет
iabbliz|2013/02/11 11:17:57|освободил
elmirkinskij|2013/02/11 11:18:32|спасибО!
iabbliz|2013/02/11 11:18:38|Не за что=)
elmirkinskij|2013/02/11 12:53:53|можешь отпустить ордер на нанесение? ненадолго. Минут 5-10 максимум.
elmirkinskij|2013/02/11 12:54:10|и приказ на сборку
iabbliz|2013/02/11 12:54:57|я как раз в них пилю..=)
iabbliz|2013/02/11 12:55:15|тебе быстро что то исправить?
elmirkinskij|2013/02/11 12:55:54|да, добавить 2 строки и все. Я отлаживать даже не буду. Мне нужны формы списка и выбора.
iabbliz|2013/02/11 12:56:44|положил
elmirkinskij|2013/02/11 13:09:26|поместила
iabbliz|2013/02/11 13:09:46|ок
elmirkinskij|2013/02/12 05:04:40|Привет, что с майтисервером?
iabbliz|2013/02/12 05:05:45|такой же вопрос к тебе=)
iabbliz|2013/02/12 05:05:46|Привет
iabbliz|2013/02/12 05:05:52|с утра зайти не могу
elmirkinskij|2013/02/12 05:06:36|я-то не в москве, я знаю меньше всех по этому вопросу) ну ладно, ждем Диму тогда.
iabbliz|2013/02/12 05:06:54|я то тоже не в москве=)
elmirkinskij|2013/02/12 05:07:04|а ты где????
iabbliz|2013/02/12 05:07:08|ууу далеко=)
elmirkinskij|2013/02/12 05:07:29|в командировке? или работаешь удаленно?)
iabbliz|2013/02/12 05:08:55|второе=)
elmirkinskij|2013/02/12 05:09:07|ясно)
iabbliz|2013/02/12 05:09:19|Не знаешь, еще кто нибудь удаленно работает?
iabbliz|2013/02/12 05:09:21|на полный день
elmirkinskij|2013/02/12 05:10:36|На сколько я знаю пока нет. Со мной работал программист в ульяновском офисе, но недавно уволился..
iabbliz|2013/02/12 06:21:24|заработало
iabbliz|2013/02/13 06:20:57|У тебя сервер работает?
iabbliz|2013/02/13 06:20:59|Привет
iabbliz|2013/02/13 06:21:06|что откинуло меня
elmirkinskij|2013/02/13 06:21:51|Привет, нет, не работает..
iabbliz|2013/02/13 06:22:05|Ок
iabbliz|2013/02/13 06:22:17|... сохранился ли я или нет...
iabbliz|2013/02/13 06:23:02|Такое ощущение просто интернета у них нет
iabbliz|2013/02/13 06:23:07|двое из скайпа выпали
elmirkinskij|2013/02/13 06:23:13|я удаленно, со своего компа подключаюсь по http, так что мне не страшно)
elmirkinskij|2013/02/13 06:23:22|ну попей чайку пока))
iabbliz|2013/02/13 06:23:26|=)))
iabbliz|2013/02/13 06:24:49|заработал
elmirkinskij|2013/02/13 06:31:49|ок)
iabbliz|2013/02/25 06:22:22|Привет
iabbliz|2013/02/25 06:22:27|Терминал работает?
elmirkinskij|2013/02/25 06:22:38|Привет, вылетел только что
iabbliz|2013/02/25 06:22:47|ок, у меня также
iabbliz|2013/02/25 06:23:35|похоже что то с интернетом у них
iabbliz|2013/02/25 06:23:41|из скайпа повыпадали
elmirkinskij|2013/02/25 06:24:22|Видимо да, да ладно, это ненадолго, как обычно) все для нас делается, чтоб мы передохнули))
iabbliz|2013/02/25 06:24:31|=))
iabbliz|2013/02/25 09:35:52|Привет, ты в круге?
elmirkinskij|2013/02/25 09:36:05|да
iabbliz|2013/02/25 09:36:12|нужен?
iabbliz|2013/02/25 09:36:25|можешь обновить ?
elmirkinskij|2013/02/25 09:38:20|Нужен, могумогу
iabbliz|2013/02/25 09:38:34|обнови пож-ла
iabbliz|2013/02/25 09:38:38|пожалуйста=)
elmirkinskij|2013/02/25 09:44:06|готово
iabbliz|2013/02/26 06:12:55|Привет
iabbliz|2013/02/26 06:13:01|РТиУ надо?
elmirkinskij|2013/02/26 06:14:40|Привет, да
iabbliz|2013/02/26 06:14:57|ок, мне похоже не надо, все в подписке
elmirkinskij|2013/02/26 06:22:12|ты в модели?
iabbliz|2013/02/26 06:22:25|да, выйти?
elmirkinskij|2013/02/26 06:22:38|желательно выйти, но хотя бы обнови)
iabbliz|2013/02/26 06:22:50|давай выйду, пока не надо
elmirkinskij|2013/02/26 06:23:48|спасибо)
iabbliz|2013/02/26 06:37:42|Обновишь круг?=)
elmirkinskij|2013/02/26 06:41:56|да, сейчас
elmirkinskij|2013/02/26 06:58:31|обновила
iabbliz|2013/02/26 06:58:57|Спасибо
iabbliz|2013/02/26 13:10:09|Счет на оплату ты не захватывала
iabbliz|2013/02/26 13:10:13|?
elmirkinskij|2013/02/26 13:10:43|вроде нет..не помню такого.
iabbliz|2013/02/26 13:10:48|ок
elmirkinskij|2013/02/27 06:08:56|Отпусти форму счета на оплату на 5 минут?
elmirkinskij|2013/02/27 06:09:02|привет
iabbliz|2013/02/27 06:09:20|Привет
iabbliz|2013/02/27 06:09:24|как раз с ней работаю=)
elmirkinskij|2013/02/27 06:09:36|не можешь на 5 мин только?
iabbliz|2013/02/27 06:12:49|Отпустил, 5 мин
iabbliz|2013/02/27 06:20:49|тук тук
elmirkinskij|2013/02/27 06:21:01|отпускаю)
iabbliz|2013/02/27 06:21:04|Эльвире задачу надо быстрее сделать..=)
elmirkinskij|2013/02/27 06:21:48|забирай
iabbliz|2013/02/27 06:21:51|спасибо
iabbliz|2013/02/27 07:02:04|ты в круге?
elmirkinskij|2013/02/27 07:05:44|да
iabbliz|2013/02/27 07:05:55|обнови пожалуйста
elmirkinskij|2013/02/27 07:07:14|окей
elmirkinskij|2013/02/27 07:07:16|майти сервер круг модель
1 сравнивается с суммой заказа без скидок с НДС, а у тебя берется сумма со скидкой  в обоих документах
2 после срабатывания скидок при изменениии кол-ва или цены в меньшую сторону в любой строке скидки должны обнуляться по всем строкам, тк сумма документа без скидок с НДС стаоа меньше мин суммы заказа
3 если основное подразделение пользователя Аутсорсинг (прописано спецнастройке 000000028), то должны срабатывать ручные скидки в обоих документах
elmirkinskij|2013/02/27 07:08:32|1 ый пункт исправлю.
elmirkinskij|2013/02/27 07:08:47|а по поводу второго и третьего- я тут не при чем.
elmirkinskij|2013/02/27 07:08:58|так и было.
iabbliz|2013/02/27 07:09:15|это к кому вопросы задавать
elmirkinskij|2013/02/27 07:09:17|ой<ss type="smile">:)</ss>
elmirkinskij|2013/02/27 07:09:25|это не тебе<ss type="smile">:)</ss>))
iabbliz|2013/02/27 07:09:30|=))
iabbliz|2013/02/27 07:09:47|в итоге скорей всего ко мне прийдет=) но сейчас да это наверно не ко мне
iabbliz|2013/02/27 07:09:59|причем по п.2 я сразу Эльвире сказал что такое будет
iabbliz|2013/02/27 07:10:12|по п.3 никахи доп условий на колонку руч. скидки не давали
iabbliz|2013/02/27 07:10:15|сказали запретить и все
iabbliz|2013/02/27 07:10:17|=)
elmirkinskij|2013/02/27 07:10:33|это по тз 12
elmirkinskij|2013/02/27 07:10:37|не к тебе наверно<ss type="smile">:)</ss>
iabbliz|2013/02/27 07:10:45|ок
iabbliz|2013/02/27 07:10:45|=)
iabbliz|2013/02/27 07:11:02|обновила?
elmirkinskij|2013/03/01 04:57:14|Привет, Ты не в конфигураторе круг модели?<ss type="smile">:)</ss>
iabbliz|2013/03/01 04:57:28|Привет, это не я
iabbliz|2013/03/01 04:57:29|=)
iabbliz|2013/03/01 04:57:35|чорт не успел=)
elmirkinskij|2013/03/01 04:57:50|и я чорт не успела)
elmirkinskij|2013/03/01 05:17:22|А ты умеешь создавать базы серверные?
iabbliz|2013/03/01 05:18:03|добавить на SQL прописать в Сервере 1с?
elmirkinskij|2013/03/01 05:18:27|Наверно<ss type="smile">:)</ss> я не умею. Это долго? можешь показать?
