author|0|body_xml
iabbliz|2013/03/06 07:51:54|Мне Ваш контакт дала Вера Пикурен, попросила узнать у Вас контакты системного администратора Виктора, для возможности удаленного подключения к базе Круга.
enichevmaxim|2013/03/06 08:13:45|
iabbliz|2013/03/06 08:14:36|Привет
enichevmaxim|2013/03/06 08:14:53|378459148 - его аська
enichevmaxim|2013/03/06 08:15:27|Виктор
iabbliz|2013/03/07 04:57:26|Привет скинь свой адрес почты
iabbliz|2013/03/18 13:03:05|Привет тут?
iabbliz|2013/03/18 13:03:13|Это Антон Иванов Раздолье
iabbliz|2013/04/10 14:53:47|Ого
iabbliz|2013/04/10 14:53:54|а она у меня?
enichevmaxim|2013/04/10 14:53:59|мне туда б реквизит добаить
enichevmaxim|2013/04/10 14:54:26|<ss type="smile">:)</ss> ну пользователь ivanov
iabbliz|2013/04/10 14:54:33|хм странно
iabbliz|2013/04/10 14:54:33|=)
iabbliz|2013/04/10 14:54:37|попробуй захватить
iabbliz|2013/04/10 14:54:42|вроде у меня нет
iabbliz|2013/04/10 14:54:46|ща перепроверю
enichevmaxim|2013/04/10 14:55:05|хмм.. ща обновчлю статусы ещё разок
enichevmaxim|2013/04/10 14:55:28|о, уже нет, спасибо!..<ss type="smile">:)</ss>
iabbliz|2013/04/10 14:55:35|ок=)
iabbliz|2013/04/10 14:55:38|не за что
enichevmaxim|2013/04/10 14:56:00|ато с 8-го чсила показывала что тобой захвачен
iabbliz|2013/04/10 14:56:11|страно
enichevmaxim|2013/04/10 14:56:50|<ss type="smile">:)</ss> ну вопщем разобрались и хорошо
iabbliz|2013/04/10 14:57:43|ага
iabbliz|2013/04/12 14:57:58|Привет
iabbliz|2013/04/12 14:58:02|говори
enichevmaxim|2013/04/12 14:58:25|в Заявке на Транспортную услугу 10.04
enichevmaxim|2013/04/12 14:58:43|обработка заполнения
enichevmaxim|2013/04/12 14:58:52|от тебя правки были..
iabbliz|2013/04/12 14:58:57|млин забыл убрать
iabbliz|2013/04/12 14:58:59|ссори
iabbliz|2013/04/12 14:59:07|там 4 строки?
enichevmaxim|2013/04/12 14:59:30|аха..<ss type="smile">:)</ss> 
я могу их убрать сам впринципе..
iabbliz|2013/04/12 14:59:34|  //+ Раздолье Иванов А.Б. 2013-04-10
  //ДокРеал = ДанныеЗаполнения.ДокРеализация;
  //ДокПНС = ДанныеЗаполнения.ДокПриказНаСборку;
  //НомДоставки = ДанныеЗаполнения.НомДоставки; 
  //СуммаДоставки = ДанныеЗаполнения.СуммаДоставки;
  ДокРеал=ДанныеЗаполнения.Основание;
  ДокПНС=ДанныеЗаполнения;
  НомДоставки=ДанныеЗаполнения.Номер;
  СуммаДоставки=0;
  //- Раздолье Иванов А.Б. 2013-04-10
iabbliz|2013/04/12 14:59:37|это?
enichevmaxim|2013/04/12 14:59:37|просто думал нужные)))
enichevmaxim|2013/04/12 14:59:43|аха
iabbliz|2013/04/12 14:59:47|ну у меня ошибка выскакивал
iabbliz|2013/04/12 14:59:52|при вводе на основании Пнс
iabbliz|2013/04/12 14:59:54|приказа на сборку
iabbliz|2013/04/12 15:00:09|временно хотел сделать
iabbliz|2013/04/12 15:00:16|потом забыл убратьь...
enichevmaxim|2013/04/12 15:01:08|понял..<ss type="smile">:)</ss> я тогда убираю... ато сегодня сдавал этот блок - сам сначала не понял почему ошибки..
потом закомментил просто..

П.с. ТУ при проведении реализации должна создаваться просто..
iabbliz|2013/04/12 15:02:57|еще раз не хотел
iabbliz|2013/04/12 15:02:59|=)
enichevmaxim|2013/04/12 15:03:26|да ничо..))
enichevmaxim|2013/04/12 15:03:44|главное что понятно что и когда сделано..))
iabbliz|2013/04/12 15:04:03|и кем=)
enichevmaxim|2013/04/12 15:04:43|аха..<ss type="smile">:)</ss>
iabbliz|2013/05/08 12:22:03|Привет
iabbliz|2013/05/08 12:22:47|а тебе надолго?
iabbliz|2013/05/08 12:22:48|=)
enichevmaxim|2013/05/08 12:22:54|10-15 минут..
enichevmaxim|2013/05/08 12:23:19|на одной закладке вывести часть полей + вывод реквизита одного добавить
enichevmaxim|2013/05/08 12:23:30|может быстрее даже..))
enichevmaxim|2013/05/08 12:23:55|мне только форма элемента нужна
enichevmaxim|2013/05/08 12:25:18|а, и нужен сам объект - реквизит добавить
enichevmaxim|2013/05/08 12:25:19|<ss type="smile">:)</ss>
iabbliz|2013/05/08 12:25:32|сек дай мин 3
enichevmaxim|2013/05/08 12:25:49|без проблем.. хоть 30.. просто примерно чтобы понимать..
iabbliz|2013/05/08 12:27:17|<ss type="smile">:)</ss>
iabbliz|2013/05/08 12:30:26|отпустил, только обновись с хранилища
iabbliz|2013/05/08 12:30:30|а то могут быть ошибки
enichevmaxim|2013/05/08 12:30:50|да, обновляюсь.. спасиб
iabbliz|2013/05/08 13:19:47|спасибо
enichevmaxim|2013/05/13 10:23:08|не могу отпустить конфу..<ss type="smile">:)</ss>
iabbliz|2013/05/13 10:23:08|роли могу пока отпустить=)
iabbliz|2013/05/13 10:23:09|сек
iabbliz|2013/05/13 10:23:11|привет
iabbliz|2013/05/13 10:24:31|попробуй
enichevmaxim|2013/05/13 10:26:28|Прошло..<ss type="smile">:)</ss>
Спасибо!
Я тогда тебе буду писать..
enichevmaxim|2013/05/13 10:26:39|если такое повториться
iabbliz|2013/05/13 10:26:57|ок
iabbliz|2013/05/13 11:10:30|опять захватил кучу
enichevmaxim|2013/05/13 11:11:25|<ss type="smile">:)</ss> я мин через 5 попробую поместить объект в хранилище
enichevmaxim|2013/05/13 11:13:30|вроде пока работает..<ss type="smile">:)</ss>
enichevmaxim|2013/05/13 15:00:44|или это не к тебе вопрос?
iabbliz|2013/05/13 15:25:43|наверное не ко мне
iabbliz|2013/05/13 15:26:02|либо к Вере Пикурен либо к Григорию пасечнику
enichevmaxim|2013/05/13 15:27:16|понял. спасибо!..<ss type="smile">:)</ss>
iabbliz|2013/05/13 15:34:21|Максим ты тут?
enichevmaxim|2013/05/13 15:36:37|да
enichevmaxim|2013/05/13 15:36:53|контрагентов?
iabbliz|2013/05/13 15:37:01|помнишь мы просили у тебя логин пароль
iabbliz|2013/05/13 15:37:06|для обновления тестовой базы
enichevmaxim|2013/05/13 15:37:11|да
iabbliz|2013/05/13 15:37:13|так вот он не подошел=)
enichevmaxim|2013/05/13 15:37:14|12323
iabbliz|2013/05/13 15:37:19|некогда было сказать
enichevmaxim|2013/05/13 15:37:24|под раздолье
enichevmaxim|2013/05/13 15:37:32|пользователь
iabbliz|2013/05/13 15:37:36|а логин?
enichevmaxim|2013/05/13 15:37:39|Раздолье
enichevmaxim|2013/05/13 15:37:50|или Максим 56767
iabbliz|2013/05/13 15:37:57|по русски?
enichevmaxim|2013/05/13 15:38:00|да
enichevmaxim|2013/05/13 15:38:09|ну в выборе есть
iabbliz|2013/05/13 15:38:18|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="x2368f19c8e61a8dda5f44fd5ab144389b27ccea8fb5524b2a4244d0f7a64bc29" timestamp="1368459489"><legacyquote>[19:38:09] Еничев Максим: </legacyquote>ну в выборе есть<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>?
iabbliz|2013/05/13 15:38:24|в каком выборе
iabbliz|2013/05/13 15:38:29|мб про разные вещи говорим
enichevmaxim|2013/05/13 15:38:30|окошко выбора конфигурации
enichevmaxim|2013/05/13 15:38:49|)) понял, ты про связь с хранилищем?
iabbliz|2013/05/13 15:38:56|да
enichevmaxim|2013/05/13 15:39:14|ща
iabbliz|2013/05/13 15:39:22|сейчас подключаюсь
