author|0|body_xml
iabbliz|2013/02/12 10:19:43|Привет
gasanov2003|2013/02/12 10:19:52|Ты щас доступен для задачи?
iabbliz|2013/02/12 10:20:07|неа=(
iabbliz|2013/02/12 10:20:10|завалили пока.
gasanov2003|2013/02/12 10:20:18|Ясно)
gasanov2003|2013/02/12 10:20:39|Напиши когда появится желание и время
iabbliz|2013/02/12 10:20:56|Хорошо
gasanov2003|2013/02/12 10:21:39|Ты в Москве?
iabbliz|2013/02/12 10:21:51|пока в Волгодонске
gasanov2003|2013/02/12 10:22:03|Ясно
iabbliz|2013/02/12 10:23:17|Хорошо
gasanov2003|2013/02/12 10:23:29|Вася Некрасов в Алмазе при тебе работал?
iabbliz|2013/02/12 10:23:30|Талиб а по уже сделанным задачам
iabbliz|2013/02/12 10:23:33|неа
gasanov2003|2013/02/12 10:23:44|Кидай на оплату
gasanov2003|2013/02/12 10:23:48|Сделанные
gasanov2003|2013/02/12 10:23:50|Оплатим
iabbliz|2013/02/12 10:23:58|ок.
iabbliz|2013/02/25 04:36:46|Привет
iabbliz|2013/02/25 04:43:55|По поводу оплаты, что нибудь ясно?
iabbliz|2013/02/25 04:44:17|Я приехал с Москвы... дома уже
iabbliz|2013/02/25 04:44:31|В москве не оч. понравилось..=)
iabbliz|2013/02/25 04:44:43|2.5 часа каждый день выкинутых из жизни
iabbliz|2013/02/25 04:44:44|на дорогу
iabbliz|2013/02/25 05:15:50|Сейчас вернулся с москвы
iabbliz|2013/02/25 05:15:55|<quote author="iabbliz" authorname="Антон Иванов" conversation="gasanov2003" guid="x41ff87d05430cf9a4fb6b89996882d6bcdccde72fca2370ca2ae714763f28a54" timestamp="1361767457"><legacyquote>[8:44:17] Антон Иванов: </legacyquote>Я приехал с Москвы... дома уже
В москве не оч. понравилось..=)
2.5 часа каждый день выкинутых из жизни
на дорогу<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/02/25 05:15:58|Денег не было
gasanov2003|2013/02/25 05:16:16|Ясно
gasanov2003|2013/02/25 05:16:22|По поводу денег
gasanov2003|2013/02/25 05:16:31|Сегодня узнаю
iabbliz|2013/02/25 05:16:41|Хорошо, спасибо
gasanov2003|2013/02/25 05:16:50|С НГ у нас канал оплаты изменился
gasanov2003|2013/02/25 05:17:02|Опять наверное глюки
iabbliz|2013/02/25 05:17:22|понятно, буду ждать=)
iabbliz|2013/02/25 05:19:58|у друга жил... так получилось\
iabbliz|2013/02/25 05:20:06|одновременно приехало еще 2 сотрудников новых
gasanov2003|2013/02/25 05:20:16|Ясно
iabbliz|2013/02/25 05:20:17|там у них корпоративная квартира
iabbliz|2013/02/25 05:20:22|4-х комнатная
gasanov2003|2013/02/25 05:20:25|Понятно
iabbliz|2013/02/25 05:20:31|2 станции всего от работы
gasanov2003|2013/02/25 05:20:58|Так это не далеко
gasanov2003|2013/02/25 05:21:06|За 20 мин
iabbliz|2013/02/25 05:21:08|это корпоративная
gasanov2003|2013/02/25 05:21:13|Ааа
iabbliz|2013/02/25 05:21:19|а я жил 40 мин на метро
iabbliz|2013/02/25 05:21:23|с пересадкой=)
iabbliz|2013/02/25 05:21:40|по 15 мин до и от метро
iabbliz|2013/02/25 05:22:58|угу =(
iabbliz|2013/02/25 05:23:06|в 8 выходил и в 8 приходил
iabbliz|2013/02/25 05:23:15|потом уже никуда не охото шлятся=)
iabbliz|2013/02/25 05:23:38|на метро накатался =)
iabbliz|2013/02/25 05:23:45|люди все куда то бежа
iabbliz|2013/02/25 05:23:47|бежат
gasanov2003|2013/02/25 05:23:58|Люди-маски
gasanov2003|2013/02/25 05:24:08|Люди не видят людей
iabbliz|2013/02/25 05:24:15|ага
gasanov2003|2013/02/25 05:24:49|Слишком много людей
gasanov2003|2013/02/25 05:24:55|Устаешь от этого
gasanov2003|2013/02/25 05:25:03|Ненавижу метро
iabbliz|2013/02/25 05:25:07|=))
iabbliz|2013/02/25 07:15:12|?
iabbliz|2013/02/25 07:15:36|=)
iabbliz|2013/02/26 09:53:32|Привет
iabbliz|2013/02/26 10:00:25|По оплате не спрашивал?=)
gasanov2003|2013/02/26 10:02:42|Сегодня до вечера
gasanov2003|2013/02/26 10:02:46|Узнаю
iabbliz|2013/02/26 10:02:53|Ок, спасибо.
iabbliz|2013/02/26 10:09:17|в след. пон-к?
gasanov2003|2013/02/26 10:09:30|Да
iabbliz|2013/02/26 10:09:36|Хорошо
iabbliz|2013/02/26 10:09:36|=)
gasanov2003|2013/02/26 10:10:03|Если надо срочно босс свои даст
iabbliz|2013/02/26 10:10:13|Нет, все норм
gasanov2003|2013/02/26 10:10:19|Ок
iabbliz|2013/02/27 16:28:18|Тут?
iabbliz|2013/02/27 16:28:23|на какой базе был Тест
iabbliz|2013/02/27 16:28:29|С какой бухгалетерией
iabbliz|2013/02/27 16:44:08|в бухню не могу зайти
iabbliz|2013/02/27 16:44:12|пользователя нету=(
iabbliz|2013/02/27 16:54:13|без БУ не получится посмотреть в чем дело.
iabbliz|2013/02/27 16:54:17|завтра посмотрю тогда
gasanov2003|2013/02/27 17:05:10|актуально?
gasanov2003|2013/02/27 17:05:34|ок
iabbliz|2013/02/28 04:28:48|я тут, скинешь пароль
iabbliz|2013/02/28 04:45:18| ок.
gasanov2003|2013/02/28 04:51:30|тут?
iabbliz|2013/02/28 04:51:35|да
gasanov2003|2013/02/28 04:51:43|ты на сервере?
iabbliz|2013/02/28 04:51:45|да
gasanov2003|2013/02/28 04:51:50|ок
iabbliz|2013/02/28 04:52:42|еще раз
gasanov2003|2013/02/28 04:52:44|твой сеанс активен?
iabbliz|2013/02/28 04:55:29|ок
iabbliz|2013/02/28 04:55:32|спасибо
iabbliz|2013/02/28 04:57:11|часть кода в бухне потеряно было
iabbliz|2013/02/28 04:57:17|моих функций нет
iabbliz|2013/02/28 04:57:23|сейчас восстановлю
gasanov2003|2013/02/28 04:57:47|во бля
iabbliz|2013/02/28 04:57:56|3 функции в общем модуле
iabbliz|2013/02/28 04:58:02|фнмФерронордик
gasanov2003|2013/02/28 04:58:11|это я наверное что-то упустил
iabbliz|2013/02/28 04:58:38|у меня все сохранено <ss type="smile">:)</ss>
iabbliz|2013/02/28 04:59:22|<a href="http://files.spec8.ru/mgroup/2013_01/ConvData-Diploms/1C-ConvData-Diplom-003.pdf">http://files.spec8.ru/mgroup/2013_01/ConvData-Diploms/1C-ConvData-Diplom-003.pdf</a>
iabbliz|2013/02/28 05:01:03|он ничего не значит правда =)
iabbliz|2013/02/28 05:32:04|отправил письмо
iabbliz|2013/02/28 07:00:43|Смотрю
iabbliz|2013/02/28 07:02:22|Письмо ответ читал, тот кто тестировал?
gasanov2003|2013/02/28 07:03:40|почитать
gasanov2003|2013/02/28 07:03:50|внимательно почитать
iabbliz|2013/02/28 07:03:51|ща еще раз проверю, но помойму там опять указан Пустой ИНН
iabbliz|2013/02/28 07:04:27|Да пустое
iabbliz|2013/02/28 07:04:41|давай добавлю проверку
iabbliz|2013/02/28 07:04:49|чтобы если пустое ИНН не искать по нему
gasanov2003|2013/02/28 07:05:54|давай
gasanov2003|2013/02/28 07:09:44|костя пишет и с инн
gasanov2003|2013/02/28 07:09:52|тоже не появился контрагент
gasanov2003|2013/02/28 07:09:57|в бухне
iabbliz|2013/02/28 07:10:11|ИНН уникальный?
iabbliz|2013/02/28 07:10:19|или 1111111111111
iabbliz|2013/02/28 07:12:03|добавлю информативные сообщения
gasanov2003|2013/02/28 07:11:52|говорит уникальный
gasanov2003|2013/02/28 07:12:01|такой которого не было в бух
iabbliz|2013/02/28 07:14:33|контрагент новый?
iabbliz|2013/02/28 07:14:41|или он проставил в старый который до этого выгружал?
gasanov2003|2013/02/28 07:15:19|не новый
gasanov2003|2013/02/28 07:15:27|поставил для существующего
iabbliz|2013/02/28 07:15:29|просто если он первый раз сделал,
iabbliz|2013/02/28 07:15:36|он нашел по пустому ИНН
iabbliz|2013/02/28 07:15:39|проставил соотвествие
iabbliz|2013/02/28 07:15:45|потом он ИНН проставил
gasanov2003|2013/02/28 07:16:32|по пустому инн с чем устанавливается соответствие?
iabbliz|2013/02/28 07:16:40|а ошибку не выдал ни какаю?
iabbliz|2013/02/28 07:16:44|какую?
iabbliz|2013/02/28 07:16:54|такую допустим: 
&quot;Ошибка! в таблице соотвествия указана ссылка на другой объект&quot;
iabbliz|2013/02/28 07:18:28|ща проверю
gasanov2003|2013/02/28 07:19:34|бля
gasanov2003|2013/02/28 07:19:36|бял
gasanov2003|2013/02/28 07:19:39|бля
iabbliz|2013/02/28 07:19:41|?
gasanov2003|2013/02/28 07:19:49|у меня мозг взорвется
gasanov2003|2013/02/28 07:19:58|костя говорит теперь что все ок
iabbliz|2013/02/28 07:20:07|эмм...
gasanov2003|2013/02/28 07:20:17|ладно подождем
gasanov2003|2013/02/28 07:20:28|я попросил его еще раз потестить
iabbliz|2013/02/28 07:23:48|положил в хранилище изменения
iabbliz|2013/02/28 07:23:52|по ИНН и сообщениям
iabbliz|2013/02/28 07:41:29|по письму такого функционала не было заложено.
iabbliz|2013/02/28 07:41:36|только первая выгрузка и все
gasanov2003|2013/02/28 07:42:18|Можешь добавить обновление ?
iabbliz|2013/02/28 07:42:31|когда надо
iabbliz|2013/02/28 07:42:38|есть загрузка... на работе
gasanov2003|2013/02/28 07:43:00|Не срочно
iabbliz|2013/02/28 07:43:06|ок
iabbliz|2013/02/28 07:43:22|только уточни какие именно реквизиты надо перезаполнять
gasanov2003|2013/02/28 07:43:38|Ок
iabbliz|2013/02/28 08:07:52|Ответил
iabbliz|2013/03/05 10:18:14|Привет, ты говорил в понедельник уже должны прийти или перечислят ?
gasanov2003|2013/03/05 10:19:04|Не помню
gasanov2003|2013/03/05 10:19:19|По идее перечислить должны
iabbliz|2013/03/05 10:19:26|ок
gasanov2003|2013/03/05 10:19:27|Уточню
iabbliz|2013/03/06 08:26:35|&quot;При определении подписки на событие, в случае если в модуле объекта определен соответствующий обработчик этого же события:
в начале отработает процедура, расположенная в модуле объекта, затем процедура, определенная по подписке&quot;
iabbliz|2013/03/06 08:27:41|Привет
gasanov2003|2013/03/06 08:27:52|Привет
iabbliz|2013/03/06 08:28:43|пока нет
gasanov2003|2013/03/06 08:28:57|Ща уточню
iabbliz|2013/03/13 05:00:45|Привет, деньги пришли вчера вечером.
iabbliz|2013/09/10 13:00:35|Привет, Талиб=)
iabbliz|2013/09/10 13:00:46|это я тебя не видел в сети давно=))
iabbliz|2013/09/10 13:00:51|я каждый день в скайпе=)
gasanov2003|2013/09/10 13:00:52|это верно
gasanov2003|2013/09/10 13:01:00|как-то не заглядывал сюда
iabbliz|2013/09/10 13:01:07|Да ничего потихоньку, работаю также
iabbliz|2013/09/10 13:01:12|у тебя как?
gasanov2003|2013/09/10 13:02:08|по разному... было потихоньку, потом аврал был. Веб сервисы пришлось срочно программировать. Идиотский CRM интегрировал с 1С
gasanov2003|2013/09/10 13:02:15|теперь опять тихо
gasanov2003|2013/09/10 13:02:28|руководителя, который двигал CRM уволили
iabbliz|2013/09/10 13:02:28|<quote author="gasanov2003" authorname="Задумавшийся" conversation="gasanov2003" guid="x71a348439c9c2fe5cbc64c0e8982395aff72ddcdc85bff47c4c77caad7dc7c5e" timestamp="1378818128"><legacyquote>[17:02:08] Задумавшийся: </legacyquote>Идиотский CRM<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>Раруса?
gasanov2003|2013/09/10 13:02:33|нет
iabbliz|2013/09/10 13:02:41|<quote author="gasanov2003" authorname="Задумавшийся" conversation="gasanov2003" guid="xa01efea54cd6b8ecc850811039ae81fac547371007947224306d3572ceaaf69b" timestamp="1378818148"><legacyquote>[17:02:28] Задумавшийся: </legacyquote>руководителя, который двигал CRM уволили<legacyquote>

&lt;&lt;&lt; </legacyquote></quote> <ss type="laugh">:D</ss>
gasanov2003|2013/09/10 13:02:45|Siebel CRM
gasanov2003|2013/09/10 13:03:36|Если бы был Рарус CRM было бы пол беды
gasanov2003|2013/09/10 13:03:48|Зибелевый CRM
gasanov2003|2013/09/10 13:04:09|кроме как через Веб сервисы не хочет интегрироваться
gasanov2003|2013/09/10 13:04:15|короче пришлось попотеть
gasanov2003|2013/09/10 13:04:24|слава Богу пока затишье
iabbliz|2013/09/10 13:04:28|Вебсервисы 1с ?
gasanov2003|2013/09/10 13:04:28|наступило
iabbliz|2013/09/10 13:04:41|всмысле сам веб сервис на 1с
iabbliz|2013/09/10 13:04:45|или стороне делал
gasanov2003|2013/09/10 13:04:53|по разному
iabbliz|2013/09/10 13:05:06|<quote author="gasanov2003" authorname="Задумавшийся" conversation="gasanov2003" guid="x63dd9b4d0bcf0b919abb3b91f6e0b1c95ee3374009cc4873281eb04e26ebcc4b" timestamp="1378818293"><legacyquote>[17:04:53] Задумавшийся: </legacyquote>по разному<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>как много в этой фразе заложено
iabbliz|2013/09/10 13:05:07|=)))
iabbliz|2013/09/10 13:05:14|представляю потуги различные
gasanov2003|2013/09/10 13:05:30|сначала сделал WCF сервис, так как Зибель не понимал 1С
gasanov2003|2013/09/10 13:05:36|потом вроде они разобрались
iabbliz|2013/09/10 13:05:36|тоже кое что делал, с веб сервисом
gasanov2003|2013/09/10 13:05:46|и я  сделал на 1С
iabbliz|2013/09/10 13:05:47|3 дня мучился
gasanov2003|2013/09/10 13:05:59|да там гемора хватает
iabbliz|2013/09/10 13:06:06|я тебя понимаю
