author|0|body_xml
iabbliz|2013/02/15 11:22:16|
iabbliz|2013/02/15 11:22:31|Добрый день
giks03|2013/02/15 11:27:47|Добрый день Антон. Меня зовут Галина. Я консультант Раздолья.
giks03|2013/02/15 11:28:08|Нужно срочно сделать задачу для пфр.
iabbliz|2013/02/15 11:28:46|То что срочно понял
iabbliz|2013/02/15 11:28:52|логин доступ пароль
iabbliz|2013/02/15 11:28:54|ошибки
giks03|2013/02/15 11:34:10|мне нуженваш мэйл. я вам вышлю краткое ТЗ
iabbliz|2013/02/15 11:34:44|<a href="mailto:a.ivanov@razdolie.ru">a.ivanov@razdolie.ru</a>
giks03|2013/02/15 11:37:04|выслала
iabbliz|2013/02/15 11:37:21|Да вижу, читаю
giks03|2013/02/15 11:38:09|форма сзв-6-3 годовая. Отчетный период 2012 г.
iabbliz|2013/02/15 11:42:33|в какой базе надо делать?
iabbliz|2013/02/15 11:42:38|доступ к данным будет?
giks03|2013/02/15 11:42:53|позже будет
iabbliz|2013/02/15 11:43:14|Мне только верхнюю часть где про обработку?
iabbliz|2013/02/15 11:43:35|&quot;Светик, сделай пож по аналогии, у тебя очень быстро получается. Процент кажется 2.3 % для инвалидов&quot;
iabbliz|2013/02/15 11:43:38|это не надо?
iabbliz|2013/02/15 11:44:05|&quot;Перебираем за год документы «Сведения о страховых взносах (СЗВ-6)»&quot;
СЗВ-6-2?
iabbliz|2013/02/15 11:44:12|Выбираем только проведенные?
iabbliz|2013/02/15 11:44:19|галка принято в ПФР стоит у них?
giks03|2013/02/15 11:44:21|нет, то что сверху
giks03|2013/02/15 11:44:27|нет
iabbliz|2013/02/15 11:44:41|Нет на какой вопрос?
iabbliz|2013/02/15 11:44:44|<quote author="iabbliz" authorname="Антон Иванов" conversation="giks03" guid="x45b540a0cb70975fc3f25f1740e63216054a5c3072a9e83b59ecc7ec4649649c" timestamp="1360928645"><legacyquote>[15:44:05] Антон Иванов: </legacyquote>&quot;Перебираем за год документы «Сведения о страховых взносах (СЗВ-6)»&quot;
СЗВ-6-2?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
giks03|2013/02/15 11:44:51|принято пфр
iabbliz|2013/02/15 11:45:00|документ тот?
giks03|2013/02/15 11:45:07|да
iabbliz|2013/02/15 11:45:34|Опись АДВ-6-2 брать из описи документа Сведения о страховых взносах СЗВ-6.
iabbliz|2013/02/15 11:45:38|за какой период опись брать?
giks03|2013/02/15 11:45:40|берем все за 1 квартал, 1 полугодие, 9 месяцев и 2012 год
iabbliz|2013/02/15 11:45:53|это понял
iabbliz|2013/02/15 11:46:38|1) Заработок Всего и В т.ч. облагается взносами всегда будет равен исходя из формулы
iabbliz|2013/02/15 11:47:08|2) Если берем данные за 1 квартал, то № месяца =1, если 2-й квартал, то №=4, за третий =7, за 4= 10.
поясните, на скриншоте там за каждый месяц, а так получится всего 4 записи, так?
iabbliz|2013/02/15 11:47:56|3) Обработку будет вызыватся из документа СЗВ-6-3 ?
giks03|2013/02/15 11:53:11|вопрос 2: да
giks03|2013/02/15 11:54:12|обработка может заполняться из документа сзв-6-3. Но нужензапрос об обнулении зарплатных данных, если они есть
iabbliz|2013/02/15 11:54:31|в самом документе обнуление?
giks03|2013/02/15 11:54:41|да можно в самом
giks03|2013/02/15 11:55:15|и нужна какая-то сверка, что все заполнено верно. Например, отчет.
iabbliz|2013/02/15 11:55:43|давайте поочереди
iabbliz|2013/02/15 11:55:50|может быть такая ситуация
iabbliz|2013/02/15 11:56:05|что принято пфр = истина
а документ не проведен или помече на удаление?
iabbliz|2013/02/15 11:56:44|Корректировки были за период?
iabbliz|2013/02/15 11:56:56|Корректирующие сведений по СЗВ-6-2
giks03|2013/02/15 11:58:39|были
giks03|2013/02/15 11:59:01|да, принятые пфр есть в базе
iabbliz|2013/02/15 11:59:27|там в корректировках есть реквизиты
iabbliz|2013/02/15 11:59:40|ДоначисленоСтраховая
ДоначисленоНакопительная
iabbliz|2013/02/15 11:59:45|их неучитывать?
iabbliz|2013/02/15 11:59:53|если учитывать то как
giks03|2013/02/15 12:00:06|там в т.ч доначислено.
giks03|2013/02/15 12:00:15|суммировать вроде не надо
iabbliz|2013/02/15 12:00:23|их не учитываем
iabbliz|2013/02/15 12:01:22|ФИО брать на дату СЗВ-6-3?
iabbliz|2013/02/15 12:01:29|если брать из документов
iabbliz|2013/02/15 12:01:32|СЗВ-6-2
iabbliz|2013/02/15 12:01:48|может быть что будет несколько записей для тех кто сменил фамилию
giks03|2013/02/15 12:04:53|из сзв-6-2
giks03|2013/02/15 12:05:14|или на последнюю дату
iabbliz|2013/02/15 12:05:26|второе безопаснее
iabbliz|2013/02/15 12:06:44|&quot;Коэффициент для кода категории НАЕМ/РАБОТНИК = 22.

Коэффициент для кода категории НАЕМ/РАБОТНИК = 16&quot;
iabbliz|2013/02/15 12:06:47|поясните
iabbliz|2013/02/15 12:06:52|второе для категории инвалидов?
giks03|2013/02/15 12:07:00|для инвалидов 16
iabbliz|2013/02/15 12:07:05|понял
iabbliz|2013/02/15 12:14:25|Пришлите как называется категория инвалидов
iabbliz|2013/02/15 12:14:38|&quot;Общественные организации инвалидов&quot;
iabbliz|2013/02/15 12:14:41|так?
giks03|2013/02/15 12:15:16|да кажется
giks03|2013/02/15 12:15:32|обозначается ООИ
iabbliz|2013/02/15 12:15:36|ок
iabbliz|2013/02/15 12:18:50|Еще раз уточню процесс
iabbliz|2013/02/15 12:18:53|Заходите в документ
iabbliz|2013/02/15 12:19:04|нажимаете заполнить выбираете обработку новую
iabbliz|2013/02/15 12:19:09|очищается документ
iabbliz|2013/02/15 12:19:18|заполняется по алгоритму который вы написали
giks03|2013/02/15 12:20:05|нажимаю заполнить в документе?
iabbliz|2013/02/15 12:20:31|нет так не получится
iabbliz|2013/02/15 12:20:52|Тип договора у вас везде одинаковый?
iabbliz|2013/02/15 12:20:58|документы надо по 200 штук бить?
giks03|2013/02/15 12:21:23|мне надо чтоб в документ собирались все сотрудники с данной категорией и данному коду за весь год
iabbliz|2013/02/15 12:21:50|ограничения на 200 человек в одной пачке нет?
giks03|2013/02/15 12:21:51|да лучше по 200
giks03|2013/02/15 12:22:08|хотя не уточняла.
iabbliz|2013/02/15 12:22:19|Тип договора
iabbliz|2013/02/15 12:22:27|там вроде по разным Типам собирать надо
giks03|2013/02/15 12:22:30|трудовой
iabbliz|2013/02/15 12:22:35|ГПХ нет?
giks03|2013/02/15 12:22:43|нет вроде
iabbliz|2013/02/15 12:23:26|получается обработка будет формировать всегда новые документы
giks03|2013/02/15 12:23:59|что значит всегда?
iabbliz|2013/02/15 12:24:13|1 раз запустили обрабокту сформировались 10 пачек
iabbliz|2013/02/15 12:24:18|2 раз запустили обработку
iabbliz|2013/02/15 12:24:23|еще 10 пачек новых
giks03|2013/02/15 12:24:27|да
iabbliz|2013/02/15 12:24:51|когда надо чтобы была обработка?
iabbliz|2013/02/15 12:24:52|сегодня?
giks03|2013/02/15 12:24:57|дата документа- рабочая дата
giks03|2013/02/15 12:25:16|мне надо на 31.12.12
iabbliz|2013/02/15 12:25:29|<quote author="giks03" authorname="Galina" conversation="giks03" guid="x5cfa02c1cffdeb53503a73d25b065c044c9be7a7057e991f4cc7df9038e7a04b" timestamp="1360931116"><legacyquote>[16:25:16] Galina: </legacyquote>мне надо на 31.12.12<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>Еще раз
giks03|2013/02/15 12:26:08|я не знаю буду пользоваться обработкой постоянно или нет. Сейчас мне надо 31.12.12 для создания документов
iabbliz|2013/02/15 12:26:55|<quote author="giks03" authorname="Galina" conversation="giks03" guid="x7469ef589a5f7ea1b86b68cf1a0a45d14d46f26f04ba1d608eeb069c09082ca4" timestamp="1360931168"><legacyquote>[16:26:08] Galina: </legacyquote>Сейчас мне надо 31.12.12 для создания документов<legacyquote>

&lt;&lt;&lt; </legacyquote></quote><quote author="iabbliz" authorname="Антон Иванов" conversation="giks03" guid="xe67ad4c36f2110d951268eb73e72bfe1619dc82eb539891ed5cacb5333f9e7ba" timestamp="1360931091"><legacyquote>[16:24:51] Антон Иванов: </legacyquote>когда надо чтобы была обработка?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>имелось ввиду когда надо чтобы была готовая обработка
giks03|2013/02/15 12:30:56|прямо сейчас
iabbliz|2013/02/15 12:52:17|в базе одна организация?
giks03|2013/02/15 12:53:31|да
iabbliz|2013/02/15 13:06:43|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62.epf&quot;">
<file size="10688" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62.epf</file></files>
giks03|2013/02/15 13:07:21|как ей пользоваться?
iabbliz|2013/02/15 13:08:29|Датанач,ДатаКон Год за который выбирать СЗВ-62
iabbliz|2013/02/15 13:08:44|ДатаФормируемы документов, дата созданных документов
iabbliz|2013/02/15 13:08:59|Опись - поидее надо выбирать за 2012 год которая
iabbliz|2013/02/15 13:09:04|организация - текущая
iabbliz|2013/02/15 13:09:12|Руководитель- Руководитель
iabbliz|2013/02/15 13:09:45|отчет тоже надо?
giks03|2013/02/15 13:10:25|желательно для сверки
iabbliz|2013/02/15 13:10:31|не делали еще?
iabbliz|2013/02/15 13:10:34|подождите
giks03|2013/02/15 13:10:43|начала
iabbliz|2013/02/15 13:11:03|почему то в последнем варианте облагаемы заработок не проставляется
iabbliz|2013/02/15 13:12:36|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.1.epf&quot;">
<file size="10702" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.1.epf</file></files>
iabbliz|2013/02/15 13:12:43|поправил
iabbliz|2013/02/15 13:12:56|что в отчете должно быть?
iabbliz|2013/02/15 13:12:59|какие показатели
iabbliz|2013/02/15 13:13:03|что сверять?
giks03|2013/02/15 13:16:01|суммы в сзв-6-3 умноженные на страховой коэф равны начисленным суммам страховых
iabbliz|2013/02/15 13:16:19|Примите файл
iabbliz|2013/02/15 13:16:38|Суммы в сзв-6-3 в отчете будут выбирать документы?
iabbliz|2013/02/15 13:16:55|по какому принципу их отобрать
iabbliz|2013/02/15 13:17:07|Начисленные страховые взносы брать из документов?
iabbliz|2013/02/15 13:17:11|СЗВ-6-2
iabbliz|2013/02/15 13:17:12|?
giks03|2013/02/15 13:17:55|да
giks03|2013/02/15 13:18:03|где испр файл?
iabbliz|2013/02/15 13:18:20|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.1.epf&quot;">
<file size="10702" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.1.epf</file></files>
iabbliz|2013/02/15 13:18:23|дублирую
giks03|2013/02/15 13:18:37|это уже с облагаемыми?
iabbliz|2013/02/15 13:18:42|да
iabbliz|2013/02/15 13:18:48|на конце _v0.1
giks03|2013/02/15 13:34:38|у кого-то нулевые все начисления. Сейчас проверю как такое мб
iabbliz|2013/02/15 13:35:32|нулевые? или пустая ТЧ: Сведения о заработке?
giks03|2013/02/15 13:37:14|посмотрела по сотрудникам много пустышек. Одного сейчас проверила- нет пачек сзв-6-2
giks03|2013/02/15 13:37:31| значит таких наверное не надо добавлять.
iabbliz|2013/02/15 13:37:52|всмысле СЗВ-6-2 таких сотрудников нет?
iabbliz|2013/02/15 13:37:59|или нет сумм Начислено
giks03|2013/02/15 13:38:34|нет сумм начислено
giks03|2013/02/15 13:38:49|их не загружать, если нет начислений
iabbliz|2013/02/15 13:38:59|понял
iabbliz|2013/02/15 13:44:29|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.2.epf&quot;">
<file size="10926" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.2.epf</file></files>
giks03|2013/02/15 13:50:50|почему-то сумма взносов получилась в 2 раза больше
iabbliz|2013/02/15 13:51:14|ровно на 2?
iabbliz|2013/02/15 13:53:26|нужно данные смотреть
iabbliz|2013/02/15 13:53:33|на моих данных дублей нет...
giks03|2013/02/15 13:54:16|при проверке выдает.
iabbliz|2013/02/15 13:55:17|мб  есть суммы доходов которые не облагаются взносами?
iabbliz|2013/02/15 13:55:24|хотя в 2 раза
iabbliz|2013/02/15 13:55:27|много
iabbliz|2013/02/15 13:56:07|по ТимВьюверу можно подключится?
giks03|2013/02/15 13:56:33|думаю можно
giks03|2013/02/15 13:57:07|446248507
giks03|2013/02/15 13:57:16|пароль 7367
giks03|2013/02/15 13:58:40|сумма начислено 11837.44 по Актову. СЗВ-6-3 создает 2 строки с 45115.91 и 30023.36, берем 22% получаем 16530.63
giks03|2013/02/15 13:59:38|и откуда она взяла 2 суммы дохода, когда страховые начисляются 1 раз?
iabbliz|2013/02/15 14:03:34|вы тут?
giks03|2013/02/15 14:04:18|да но в др сеансе
iabbliz|2013/02/15 14:04:31|вам не видно что я делаю?
iabbliz|2013/02/15 14:04:35|или можете посмотреть?
giks03|2013/02/15 14:06:05|я пока переключилась на др сеанс. А то сегодня посл день сдачи. Если не успеем кранты
iabbliz|2013/02/15 14:06:28|что то с формулой не так
iabbliz|2013/02/15 14:06:52|а позвонить нельзя?
iabbliz|2013/02/15 14:06:54|по скайпу?
giks03|2013/02/15 14:07:03|можно
giks03|2013/02/15 14:26:53|ну что решили?
iabbliz|2013/02/15 14:28:41|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.3.epf&quot;">
<file size="13826" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.3.epf</file></files>
iabbliz|2013/02/15 14:28:47|есть изменения
iabbliz|2013/02/15 14:28:51|2 закладки
iabbliz|2013/02/15 14:28:59|на первой заполняются доки СЗВ-6-2
iabbliz|2013/02/15 14:29:11|вначале надо заполнить список доков
iabbliz|2013/02/15 14:29:22|потом переключится на вторую заклдаку
iabbliz|2013/02/15 14:29:24|нажать Выполнить
iabbliz|2013/02/15 14:29:46|будут сформированы только по тем СЗВ-6-2 что указаны на первой закладке
giks03|2013/02/15 14:30:01|а как я их отфильтрую?
iabbliz|2013/02/15 14:30:14|первоначально заполнится
iabbliz|2013/02/15 14:30:17|как мы и говорил
iabbliz|2013/02/15 14:30:25|на первой закладке
iabbliz|2013/02/15 14:30:27|заполнить
giks03|2013/02/15 14:30:32|всеми?
iabbliz|2013/02/15 14:30:34|нет
iabbliz|2013/02/15 14:30:44|до 31.12.12 только проведенные
giks03|2013/02/15 14:30:50|ок
iabbliz|2013/02/15 14:30:52|после все не помеченные
iabbliz|2013/02/15 14:31:09|ну и там можно просмотреть какие заполнились какие нет
iabbliz|2013/02/15 14:31:16|чтобы можно было либо добавить/удалить
giks03|2013/02/15 14:33:00|не заполняет
iabbliz|2013/02/15 14:33:19|настройки не сохранены были?
iabbliz|2013/02/15 14:33:30|укажите на второй закладке опять те данные
iabbliz|2013/02/15 14:33:33|повторите заполнение
giks03|2013/02/15 14:34:10|не заполняет
iabbliz|2013/02/15 14:34:20|подключится моожно?
giks03|2013/02/15 14:34:41|да
iabbliz|2013/02/15 14:35:36|вы на том сеансе?
iabbliz|2013/02/15 14:35:46|вроде заполняет...
giks03|2013/02/15 14:37:16|я на кнопку заполнить нажимала
giks03|2013/02/15 14:37:19|сорри
giks03|2013/02/15 14:37:31|что-то не так жала видимо
iabbliz|2013/02/15 14:37:48|просто он период берет со второй закладки
giks03|2013/02/15 14:38:11|ясно
giks03|2013/02/15 14:40:52| В данных о заработке один из месяцев повторяется несколько раз!
giks03|2013/02/15 14:41:00|и так по нескольким
iabbliz|2013/02/15 14:42:29|видите?
iabbliz|2013/02/15 14:43:02|надо корректирующие исключить
iabbliz|2013/02/15 14:43:04|так?
giks03|2013/02/15 14:44:00|если честно не знаю. Давай исключим
iabbliz|2013/02/15 14:44:09|дык я тоже
giks03|2013/02/15 14:44:24|исключаем
iabbliz|2013/02/15 14:47:03|пробуйте
iabbliz|2013/02/15 14:47:40|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.4.epf&quot;">
<file size="13852" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.4.epf</file></files>
iabbliz|2013/02/15 14:47:46|я там открыл уже эту обработку
giks03|2013/02/15 15:02:37|что-то опять ошибки лезут
giks03|2013/02/15 15:02:51|разница в суммах
iabbliz|2013/02/15 15:04:58|это корректирующая....
iabbliz|2013/02/15 15:06:19|как раз на эти суммы
giks03|2013/02/15 15:09:40|мне не нужны расхождения
iabbliz|2013/02/15 15:10:14|никому не нужны
iabbliz|2013/02/15 15:10:19|другой вопрос как посчитать
giks03|2013/02/15 15:13:08|она сейчас собирает какие документы? все проведенные ?
iabbliz|2013/02/15 15:13:32|на 1 закладке указаны те документы которые она выбрала
iabbliz|2013/02/15 15:14:05|до 31.12.12 только проведенные
iabbliz|2013/02/15 15:14:13|после все
giks03|2013/02/15 15:14:24|ты делаешь запрос по сотруднику?
iabbliz|2013/02/15 15:14:37|еще раз?
iabbliz|2013/02/15 15:14:46|я выбираю данные из этих пачек
giks03|2013/02/15 15:14:48|как пишешь обработку?
iabbliz|2013/02/15 15:14:59|группирую по физлицу
giks03|2013/02/15 15:18:11|я думаю надо так: выгружаешь данные в запрос по документам, сотрудникам. Затем сворачиваешь по документам и сотрудникам. Один сотрудник- запись в док. сзв-6-3, документы - месяцы. Соответственно по накопленной сумме начисленных и страховых взносов делаем расчет.
iabbliz|2013/02/15 15:19:25|Понимаете я так и делаю, дело в том какие пачки выбирать и как рассчитывать
iabbliz|2013/02/15 15:19:43|возьмите одного сотрудника
iabbliz|2013/02/15 15:19:45|проблемного
iabbliz|2013/02/15 15:19:52|выбирите данные по нему из пачек
iabbliz|2013/02/15 15:19:57|и напишите как рассчитать
iabbliz|2013/02/15 15:20:01|я так и сделаю
iabbliz|2013/02/15 15:48:44|Вытут?
giks03|2013/02/15 15:49:21|да
iabbliz|2013/02/15 15:49:30|можете еще раз попробовать?
iabbliz|2013/02/15 15:49:34|по другому сделал кое что
giks03|2013/02/15 15:49:35|да
iabbliz|2013/02/15 15:49:39|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.5.epf&quot;">
<file size="13974" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.5.epf</file></files>
iabbliz|2013/02/15 15:50:37|старые помечать не надо было?
giks03|2013/02/15 15:50:48|надо ))
iabbliz|2013/02/15 16:00:03|а еще раз?
iabbliz|2013/02/15 16:00:07|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.6.epf&quot;">
<file size="13999" index="0">ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.6.epf</file></files>
giks03|2013/02/15 16:00:19|ох...
iabbliz|2013/02/15 16:00:39|в поисках правильной формулы....
iabbliz|2013/02/15 16:01:20|НЕ ТА
iabbliz|2013/02/15 16:02:43|<files alt="отправил (-а) файл &quot;ЗаполнитьСЗВ63НаОснованииСЗВ62_v0.7.epf&quot;">
