author|0|body_xml
iabbliz|2013/06/26 12:17:03|
iabbliz|2013/06/26 12:17:27|ƒобрый день
iabbliz|2013/06/26 12:31:22|а должен быть?
iabbliz|2013/06/26 12:31:50|пока вроде по поводу отпуска ничего конретного...
iabbliz|2013/06/26 12:31:55|не говорили
hr-razdolie|2013/06/26 12:33:30|ƒл€ ¬ас это будет как непроектна€ работа
iabbliz|2013/06/26 12:34:09|ѕон€тно. —роки проверки?
hr-razdolie|2013/06/26 12:34:57|по возможности, но чем быстрее, тем лучше. ¬ы же понимаете, что человек, который выполнил тест в любом случае ждет ответа
iabbliz|2013/06/26 12:36:00|’орошо
iabbliz|2013/06/26 12:36:20|«адание, его работу , и если есть путь до базы где можно проверить работоспособность
iabbliz|2013/06/26 12:39:27|а можете попросить его выслать базу?=)
iabbliz|2013/06/26 12:39:30|или это сложно
iabbliz|2013/06/26 12:39:37|чтобы € на его данных проверил
iabbliz|2013/06/26 12:39:41|если сложно, придумаю свою
iabbliz|2013/06/26 12:40:04|<quote author="hr-razdolie" authorname="hr razdolie" conversation="hr-razdolie" guid="x82eab462c9d8a4a755fa2431dde63bca95b10ef3b06ad2c1b500e9ab47b2def9" timestamp="1372250279"><legacyquote>[16:37:59] hr razdolie: </legacyquote>¬аша почта <a href="mailto:a.ivanov@razdolie.ru">a.ivanov@razdolie.ru</a>?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>да
iabbliz|2013/06/26 12:46:14|да
iabbliz|2013/06/27 09:04:19|=) ƒобрый день.
