author|0|body_xml
iabbliz|2013/02/27 12:21:59|Привет
iabbliz|2013/02/27 12:22:00|одну начал
iabbliz|2013/02/27 12:22:05|что то не зацепило
iabbliz|2013/02/27 12:22:12|слушай а скинь логопасс от танков
iabbliz|2013/02/27 12:22:12|=)
ivanov_vdonsk|2013/02/27 12:22:14|я уже второй сезон смотрю
ivanov_vdonsk|2013/02/27 12:22:23|<a href="mailto:blizzardanton@mail.ru">blizzardanton@mail.ru</a>
ivanov_vdonsk|2013/02/27 12:22:27|27DGF39potrE
iabbliz|2013/02/27 12:22:34|спс=)
iabbliz|2013/02/27 12:22:45|а то пока в Москве был насмотрелся у Санька
iabbliz|2013/02/27 12:22:51|может поиграю  как нить
ivanov_vdonsk|2013/02/27 12:23:01|=)
ivanov_vdonsk|2013/02/27 12:23:09|только  вот арты там нету
iabbliz|2013/02/27 12:23:18|просрал?
ivanov_vdonsk|2013/02/27 12:23:19|надо купить т92
ivanov_vdonsk|2013/02/27 12:23:24|изучил и продал старую
ivanov_vdonsk|2013/02/27 12:23:37|там много танков надо покупать) опыта есть, денег нету))
ivanov_vdonsk|2013/02/27 12:23:44|на лоше деньги собирал
ivanov_vdonsk|2013/02/27 12:23:53|можно уже 10лвл французов покупать
iabbliz|2013/02/27 12:24:02|=)
iabbliz|2013/02/27 12:25:55|на работе?
ivanov_vdonsk|2013/02/27 12:26:16|да нифига, с понедельника сказали на учебу
iabbliz|2013/02/27 12:26:29|=(
ivanov_vdonsk|2013/02/27 12:32:48|только там в танках могут тебе писать всякие неадекватные вещи, prosto-mikki, medved_medvedev - ты там сразу скажи, что близ зашел))
ivanov_vdonsk|2013/02/27 12:33:13|а про ТЕРУ тебе кто сказал, что фиговая игра?
ivanov_vdonsk|2013/02/27 12:33:44|афк
iabbliz|2013/02/27 12:33:50|никто не говорил смотрел просто
iabbliz|2013/02/27 12:33:54|обзоры и т.п.
iabbliz|2013/03/15 16:11:00|facorio
iabbliz|2013/03/15 16:13:02|<a href="https://www.youtube.com/watch?v=ZFeOd16IJs4">https://www.youtube.com/watch?v=ZFeOd16IJs4</a>
iabbliz|2013/03/17 13:03:02|играл, не делал=)
ivanov_vdonsk|2013/03/17 13:03:25|подскажи, как там исследовать что-то новое?
ivanov_vdonsk|2013/03/17 13:03:44|есть штуки в которых соединяешь 2 вещи и делаешь вещь
iabbliz|2013/03/17 13:04:06|здание надо построить
iabbliz|2013/03/17 13:04:15|серенькая бутылка помойму
ivanov_vdonsk|2013/03/17 13:04:39|она меня как-то затянула вечером
