author|0|body_xml
iabbliz|2013/07/19 12:55:39|
iabbliz|2013/07/19 12:55:45|
iabbliz|2013/07/19 12:55:53|Добрый вечер
iabbliz|2013/07/19 12:55:58|или день=)
kate.sbr|2013/07/19 12:56:03|привет)
kate.sbr|2013/07/19 12:56:55|я менеджер, мне жарков дал порученьице) в общем, договорились, что ты сегодня в 5вечера акву-продакшн обновишь
iabbliz|2013/07/19 12:57:03|lда
iabbliz|2013/07/19 12:57:06|все верно
kate.sbr|2013/07/19 12:57:15|они из базы выйдут, ты номер знаешь?
iabbliz|2013/07/19 12:57:27|вообще ничего не знаю=)
iabbliz|2013/07/19 12:57:33|как туда подключится
iabbliz|2013/07/19 12:57:36|логин пароль
iabbliz|2013/07/19 12:57:40| и т.п.
iabbliz|2013/07/19 12:57:49|номер? какой номер?
kate.sbr|2013/07/19 12:58:29|(495) 950-57-05
kate.sbr|2013/07/19 12:58:32|телефон
iabbliz|2013/07/19 12:58:38|у них скайпа нет?
kate.sbr|2013/07/19 12:59:22|неа, не знаем мы. попробуй им позвонить и договориться, чтоб они эмми админ запустили
iabbliz|2013/07/19 12:59:43|просто я как бы не в москве...
iabbliz|2013/07/19 13:00:04|они знают что я позвоню?
iabbliz|2013/07/19 13:00:25|у них Админ есть?
kate.sbr|2013/07/19 13:01:08|знают
kate.sbr|2013/07/19 13:01:26|насчет админа не знаю(
kate.sbr|2013/07/19 13:02:01|сейчас я позвоню им сама)
kate.sbr|2013/07/19 13:02:45|скажи свой номер, я их на тебя переключу
iabbliz|2013/07/19 13:02:53|89281422052
iabbliz|2013/07/19 13:02:58|Антон
iabbliz|2013/07/19 14:13:00|Только что позвонил, сказал что обновил
iabbliz|2013/07/19 14:15:08|эм?
kate.sbr|2013/07/19 14:15:58|да, странно прозвучало)) я в том плане, что они ничего больше не просили сделать или рассказать?
iabbliz|2013/07/19 14:16:20|Вроде не просили
iabbliz|2013/07/19 14:16:21|=)
iabbliz|2013/07/19 14:16:29|я только с Михаилом общался
kate.sbr|2013/07/19 14:16:53|ну тогда отлично) спасибо, антон <ss type="flower">(F)</ss>
iabbliz|2013/07/19 14:17:30|Не за что=)
