author|0|body_xml
iabbliz|2013/03/12 11:27:57|Добрый день.
kokushevasv|2013/03/12 11:28:09|
iabbliz|2013/03/12 11:28:17|Вы случайно не в Цандере на терминале?
kokushevasv|2013/03/12 11:28:25|нет
iabbliz|2013/03/12 11:28:51|Ок. спс.
iabbliz|2013/09/02 07:09:25|Добрый день.
iabbliz|2013/09/02 07:09:42|Хотел узнать, а это Вы черем TeamViewer в БПЛе работаете?
kokushevasv|2013/09/02 07:09:57|здравствуйте, Антон
kokushevasv|2013/09/02 07:10:00|да. работаю
kokushevasv|2013/09/02 07:10:04| я могу на часок отдать
kokushevasv|2013/09/02 07:10:27|мне сейчас надо перекючиться на другую задачу
kokushevasv|2013/09/02 07:10:38|берете сеанс7
kokushevasv|2013/09/02 07:10:40|?
iabbliz|2013/09/02 07:10:47|давайте, правда не уверен что за час уложусь
kokushevasv|2013/09/02 07:11:16|ок
kokushevasv|2013/09/02 07:11:22|отпишитесь, когда освободитесь
iabbliz|2013/09/02 07:11:28|хорошо
kokushevasv|2013/09/02 07:11:31|я может тоже за час не успею
iabbliz|2013/09/02 08:54:37|5 мин, еще можно?
kokushevasv|2013/09/02 08:54:48|ок
kokushevasv|2013/09/02 08:54:52|отпишитесь
iabbliz|2013/09/02 08:54:55|хорошо
iabbliz|2013/09/02 09:04:24|Освободил
iabbliz|2013/09/02 10:01:37|когда еще можно будет поработать через Тим?
kokushevasv|2013/09/02 10:03:47|Антон, работайте
kokushevasv|2013/09/02 10:04:07|я пока  по другому кленту работаю
iabbliz|2013/09/02 10:04:53|ок
iabbliz|2013/09/03 05:58:45|Да это я
kokushevasv|2013/09/03 05:58:59|ок
iabbliz|2013/09/03 05:59:10|кое что запущу и освобожу
kokushevasv|2013/09/03 05:59:17|ок
iabbliz|2013/09/03 06:03:13|Освободил.
iabbliz|2013/09/03 13:17:52|для чего?=)
iabbliz|2013/09/03 13:17:56|отпустить?
kokushevasv|2013/09/03 13:18:35|нет - поговорить<ss type="smile">:)</ss>
iabbliz|2013/09/03 13:18:47|да
kokushevasv|2013/09/03 13:19:13|есть одна задачка п Биаскплену, такая не срочная
kokushevasv|2013/09/03 13:22:22|я  постановку задачи напишу  (ТЗ)
iabbliz|2013/09/03 13:25:25|секунду скайп
iabbliz|2013/09/03 13:25:28|позвонили
iabbliz|2013/09/03 13:32:28|тут
iabbliz|2013/09/03 13:32:29|читаю
iabbliz|2013/09/03 13:33:01|<quote author="kokushevasv" authorname="KokushevaSv" conversation="kokushevasv" guid="xfe0231b1b0bc8850f97ada350757ad5c1dde073f719345db40b08a17197e8df0" timestamp="1378214402"><legacyquote>[17:20:02] KokushevaSv: </legacyquote>Расчеты по  реализации<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>это которы Регистр сведений?
iabbliz|2013/09/03 13:33:23|&quot;Расчеты по реализации организации&quot;
iabbliz|2013/09/03 13:33:25|?
iabbliz|2013/09/03 13:34:15|вообщем я согласен
iabbliz|2013/09/03 13:34:16|=)
kokushevasv|2013/09/03 13:34:18|ок
kokushevasv|2013/09/03 13:34:39|я напишу мин ТЗ завтра и задачу в базе поставлю
iabbliz|2013/09/03 13:34:44|хорошо
iabbliz|2013/09/04 06:51:27|Привет, Светлана.
kokushevasv|2013/09/04 06:51:28|а тчо Биаксплен не работает? не могу через теамвьювер подключиться
iabbliz|2013/09/04 06:51:38|вроде работало с утра
kokushevasv|2013/09/04 06:51:42|540673971
iabbliz|2013/09/04 06:51:44|последние мин 15 не работает
kokushevasv|2013/09/04 06:51:46|это же их ИД
kokushevasv|2013/09/04 06:51:51|понятно
kokushevasv|2013/09/04 07:10:13|<files alt="отправил (-а) файл &quot;ТЗ_Отчет_СверкаВзаиморасчетовСПоставщикамиПокупателями.xls&quot;">
<file size="23552" index="0" tid="1052545563">ТЗ_Отчет_СверкаВзаиморасчетовСПоставщикамиПокупателями.xls</file></files>
kokushevasv|2013/09/04 07:10:24|Антон, это мини ТЗ, в котором я  описала Форму отчета
kokushevasv|2013/09/04 07:10:38|и структуру данных для отчета, т.е. откуда брать данные
kokushevasv|2013/09/04 07:10:50|посмотри - будет непонятно - обсудим
iabbliz|2013/09/04 07:11:17|Смогу приступить к нему скорей всего только завтра, это нормально?
kokushevasv|2013/09/04 07:11:23|ок
kokushevasv|2013/09/04 07:11:34|а ты из Москвы или Волгодонска работаешь?
iabbliz|2013/09/04 07:11:42|=)
iabbliz|2013/09/04 07:11:46|Из Волгодонска
kokushevasv|2013/09/04 07:11:55|о как
iabbliz|2013/09/04 07:12:11|неожиданно ?=)
kokushevasv|2013/09/04 07:12:15|т.е. ты наших и в глаза не видел никого из фирмы?<ss type="smile">:)</ss>
iabbliz|2013/09/04 07:12:30|ну почему же 2 раза уже был у Вас
iabbliz|2013/09/04 07:12:42|Один раз оформлял документы, второй раз в коммандировке в Круге
iabbliz|2013/09/04 07:12:52|когда внедрялся
kokushevasv|2013/09/04 07:12:55|да нет -  у нас есть народ, который дистанционо работает
kokushevasv|2013/09/04 07:13:27|я тожеиз дома работаю, в Подмосковье сижу - после декрета еще никак не выйду
iabbliz|2013/09/04 07:13:28|да наверно, многих еще не видел в глаза
kokushevasv|2013/09/04 07:13:35|ребенок маленький
kokushevasv|2013/09/04 07:14:08|ладно, завтра тогда с утра спишемся - если вопросы будут по моему Файлу
kokushevasv|2013/09/04 07:14:25|а ты сейчас полностью Биаксплен ведешь?
iabbliz|2013/09/04 07:14:28|вопросы точно будут, но сначала надо посмотреть файл, чтобы они были предметные
kokushevasv|2013/09/04 07:14:42|или еще кто-то с паре с тобой БП занимается?
iabbliz|2013/09/04 07:14:44|<quote author="kokushevasv" authorname="KokushevaSv" conversation="kokushevasv" guid="x1e1cf5642378d31b099e303730a0830b2d21fd312a33a76810120152016aef78" timestamp="1378278865"><legacyquote>[11:14:25] KokushevaSv: </legacyquote>а ты сейчас полностью Биаксплен ведешь?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не понял?
iabbliz|2013/09/04 07:14:56|вроде как все ведут БПЛ
iabbliz|2013/09/04 07:15:07|Малышев, Карякин, Халитова и я
iabbliz|2013/09/04 07:15:11|если из программистов
kokushevasv|2013/09/04 07:15:24|понятно
iabbliz|2013/09/04 07:23:51|Вы в БПЛе?
iabbliz|2013/09/04 07:24:20|можете написать когда можно будет зайти?
kokushevasv|2013/09/04 07:24:26|в 12.00 будет свободно
iabbliz|2013/09/04 07:24:30|хорошо
iabbliz|2013/09/04 07:47:53|спасибо
iabbliz|2013/09/04 12:27:41|есть вопросы, как лучше письмо/скайп/позвонить?
kokushevasv|2013/09/04 12:28:33|можно по скайпу прямо сейчас
kokushevasv|2013/09/04 12:28:37|позвонить
iabbliz|2013/09/04 12:56:54|для суммы в валюте и суммы в рублях тоже отдельные колонки ?
kokushevasv|2013/09/04 12:57:23|да
kokushevasv|2013/09/04 12:57:28|Антон - извини
kokushevasv|2013/09/04 12:57:32|пропустила
iabbliz|2013/09/04 12:57:46|ничего, просто уточняю
iabbliz|2013/09/05 13:46:42|Скинул на почту отчет
kokushevasv|2013/09/05 13:46:53|спасибо Антон
kokushevasv|2013/09/05 13:46:56|завтра посмотрю
iabbliz|2013/09/05 13:46:58|ок
kokushevasv|2013/09/05 13:47:03|или сегодня вечером
iabbliz|2013/09/06 08:21:27|Привет
kokushevasv|2013/09/06 08:21:31|смотри
kokushevasv|2013/09/06 08:21:53|когда я включаю галку Выводить только отклонения
kokushevasv|2013/09/06 08:22:07|и в полях задаю  - выводить только конечное сальдо
kokushevasv|2013/09/06 08:22:32|<files alt="отправил (-а) файл &quot;IMG_06092013_122230.png&quot;">
<file size="163469" index="0" tid="3696809746">IMG_06092013_122230.png</file></files>
kokushevasv|2013/09/06 08:22:35|вот что лезет
kokushevasv|2013/09/06 08:22:59|т.е. выводятся  строки, где хотя бы в нач сальдо и оборотах были отклонения
kokushevasv|2013/09/06 08:23:05|а надо
kokushevasv|2013/09/06 08:23:13|раз я вывожу  только конечное сальдо
kokushevasv|2013/09/06 08:23:26|знаит надовыводить толкьо те строки - где в конечном сальдо есть отклонения
kokushevasv|2013/09/06 08:24:20|Если я выводу поля - обооты без сальдо
kokushevasv|2013/09/06 08:24:26|значит отклонения только по обортам
iabbliz|2013/09/06 08:24:31|Надо подумать как такое сделать...
kokushevasv|2013/09/06 08:24:37|если вывожу все поля: нач, обороты и кон
kokushevasv|2013/09/06 08:24:53|то занчит отклонения, которые присутствуют хотя бы в одном из поле
kokushevasv|2013/09/06 08:24:56|ок
kokushevasv|2013/09/06 08:25:03|это по поводу подумать
kokushevasv|2013/09/06 08:25:05|ок
iabbliz|2013/09/06 08:25:09|=)
iabbliz|2013/09/09 08:50:08|Привет
kokushevasv|2013/09/09 08:50:22|смотри скриншот
kokushevasv|2013/09/09 08:50:28|вывожу только кон чальдо
kokushevasv|2013/09/09 08:50:44|во первых выодит цифры  - где нет отконений
kokushevasv|2013/09/09 08:50:48|отклонений
kokushevasv|2013/09/09 08:50:57|во 2-х, пробелы вот эти
iabbliz|2013/09/09 08:50:58|это какие?
iabbliz|2013/09/09 08:51:15|помойму все верно
kokushevasv|2013/09/09 08:51:22|ой сорри
kokushevasv|2013/09/09 08:51:33|это у  меня  уже крыша едет
kokushevasv|2013/09/09 08:51:35|минутку
iabbliz|2013/09/09 08:51:49|сам также по началу смотрел на отчет
kokushevasv|2013/09/09 08:55:21|вроде все ок
kokushevasv|2013/09/09 08:55:31|я глав буху на тестирование отсылаю
iabbliz|2013/09/09 08:56:52|уххх
iabbliz|2013/09/09 08:56:57|скрестили пальцы
kokushevasv|2013/09/09 08:57:27|<ss type="smile">:)</ss>
