author|0|body_xml
iabbliz|2013/05/17 10:54:04|Привет, Ваш контакт мне дала Вера Пикурен
iabbliz|2013/05/17 10:54:10|Вы сейчас в КругМоделе?
krashavm|2013/05/17 10:58:51|
krashavm|2013/05/17 11:02:06|lf
krashavm|2013/05/17 11:02:09|да
krashavm|2013/05/17 11:02:23|выйдти?
iabbliz|2013/05/17 11:02:26|уже разрешилось спасибо
iabbliz|2013/05/17 11:02:31|не, обновить надо было
iabbliz|2013/05/17 16:32:46|Привет ты в круг моделе7
krashavm|2013/05/17 16:33:13|да шас проверю
krashavm|2013/05/17 16:33:29|доработку
krashavm|2013/05/17 16:33:58|у тебя ничего на сервере не тормозит ,
krashavm|2013/05/17 16:34:04|?
iabbliz|2013/05/17 16:34:13|мне позвонили что не могут зайти
iabbliz|2013/05/17 16:34:16|да тормозит
iabbliz|2013/05/17 16:34:20|только подключился
krashavm|2013/05/17 16:34:51|я вообще немогу ничего сделать иногда
iabbliz|2013/05/17 16:35:06|это Диме малышеву надо говорить
iabbliz|2013/05/17 16:35:11|я ничего не сделаю
iabbliz|2013/05/17 16:35:25|в течении дня вроде более менее было
