author|0|body_xml
marionetkasya|2013/09/13 09:18:35|как дела? )))
iabbliz|2013/09/13 09:18:51|”х спасибо большое=)
marionetkasya|2013/09/13 09:18:56|))))))))))))
iabbliz|2013/09/13 09:19:15|ƒела норм=) работаю
iabbliz|2013/09/13 09:19:19|у теб€ как?
marionetkasya|2013/09/13 09:19:22|молодец!!!
marionetkasya|2013/09/13 09:19:23|отлично
marionetkasya|2013/09/13 09:19:26|тоже дома работаю
marionetkasya|2013/09/13 09:19:28|))
iabbliz|2013/09/13 09:19:29|=)))
marionetkasya|2013/09/13 09:19:35|какое счатсье быть на свободе!!!! села за руль
marionetkasya|2013/09/13 09:19:48|медом не корми - дай куда-нить сгон€ть )))))))))
iabbliz|2013/09/13 09:19:55|ага по началу это так бударажит=)
iabbliz|2013/09/13 09:20:09|јлмаз и свобода в одном предложении нельз€ ставить
marionetkasya|2013/09/13 09:20:22|это антонимы )))
marionetkasya|2013/09/13 09:20:28|јнтонимы ))
iabbliz|2013/09/13 09:20:28|=))
iabbliz|2013/09/13 09:23:16|ќбщени€ живого маловато =)
iabbliz|2013/09/13 09:23:25|по скайпу то общаюсь часто
marionetkasya|2013/09/13 09:24:24|а мне как то и номрально вроде.. € с подружками встречаюсь там.. хот€ да..наверное да € еще мало дома
marionetkasya|2013/09/13 09:24:26|))
iabbliz|2013/09/13 09:24:36|=))
marionetkasya|2013/09/13 09:24:50|да и у вас отедл был классный.. ты наеврное по этому скучаешь..не везде так весело на работе ))))
iabbliz|2013/09/13 09:32:11|ага это точно=)
