author|0|body_xml
novoselsky.oleh|2013/03/01 10:09:07|
iabbliz|2013/03/12 11:29:55|Привет
novoselsky.oleh|2013/03/12 11:30:17|привет
iabbliz|2013/03/12 11:30:35|а тебе в Цандере Конфигуратор нужен?
iabbliz|2013/03/12 11:30:38|раздолье
iabbliz|2013/03/12 11:30:40|который
novoselsky.oleh|2013/03/12 11:31:15|закрыл
iabbliz|2013/03/12 11:31:18|Спасибо
iabbliz|2013/03/15 09:28:28|Привет
iabbliz|2013/03/15 09:28:41|рздПриЗаписиСправочникаОбщейНСИ
iabbliz|2013/03/15 09:28:59|там если нет роли &quot;рздРедактированиеОбщейНСИ&quot; не дает записать.
novoselsky.oleh|2013/03/15 09:29:05|да.
iabbliz|2013/03/15 09:29:09|а с полными правами тоже нельзя?
novoselsky.oleh|2013/03/15 09:29:14|да
iabbliz|2013/03/15 09:29:20|ок.
iabbliz|2013/03/15 09:29:58|можно было служеб сообщение дать, а то пришлось в код лезть искать почему не записывается=))
novoselsky.oleh|2013/03/18 10:58:19|Привет!
novoselsky.oleh|2013/03/18 10:58:32|Иванов А.Б. что сделано:
- поднята копия базы задачи: HronosSQL_82_Copy
- и сделана пустая база для цандера: cander_docs_erp
iabbliz|2013/03/18 10:58:35|Привет
novoselsky.oleh|2013/03/18 10:58:50|А как зайти логин: админ,  а пароль?
iabbliz|2013/03/18 10:59:14|в базу задачи  Администратор пароль: ежик
novoselsky.oleh|2013/03/18 10:59:18|спс
iabbliz|2013/03/18 10:59:20|в базу цандера
iabbliz|2013/03/18 10:59:24|Админстратор 123
iabbliz|2013/03/18 10:59:27|помойму
