author|0|body_xml
nukewin|2013/07/01 10:56:40|
nukewin|2013/07/01 10:56:44|текстом
iabbliz|2013/07/01 10:59:43|ок, тогда как нить потом
iabbliz|2013/07/16 07:10:05|Давно из дома работаете?
nukewin|2013/07/16 07:10:15|больше года
iabbliz|2013/07/16 07:10:31|У меня пока полгода...
iabbliz|2013/07/16 07:10:38|И как нравится?
nukewin|2013/07/16 07:10:51|предлагаю перейти к более конструктивным вопросам
iabbliz|2013/07/16 07:11:50|Да просто хотел узнать мнение о работе из дома. Вот и все.
iabbliz|2013/07/16 07:12:56|И еще хотел узнать много людей в фирме у вас работают так же удаленно?
nukewin|2013/07/16 07:13:15|работа не для всех
iabbliz|2013/07/16 07:14:37|Всмысле не для тех у кого с самоорганизацией проблемы?
nukewin|2013/07/16 07:14:57|как минимум да
iabbliz|2013/07/16 07:15:28|Кроме вас так еще кто то работает?
iabbliz|2013/07/16 07:15:33|В конторе
nukewin|2013/07/16 07:16:00|в нашей команде - почти все
nukewin|2013/07/16 07:16:23|но ряд людей отсеялся по разным причинам
iabbliz|2013/07/16 07:17:19|Не знаете в данный момент, есть ли вакансии такого рода?
nukewin|2013/07/16 07:17:44|это обсуждается.
Что знаете, что умеете, чего хотите?
iabbliz|2013/07/16 07:17:58|В принципе на текущей работе все устраивает.
nukewin|2013/07/16 07:18:54|какие ожидания по количеству отработанных часов в месяц и по их оплате?
iabbliz|2013/07/16 07:19:54|Ну в данный момент закрытых часов у меня от 160 и до 220 было
iabbliz|2013/07/16 07:20:20|Другое дело может у вас как то по другому они закрываются
nukewin|2013/07/16 07:20:24|и как удавалось закрыть 220 часов в месяц (ну кроме приписок)? <ss type="wink">;-)</ss>
iabbliz|2013/07/16 07:20:56|Сейчас это оцененные ТП и их сдача
nukewin|2013/07/16 07:21:07|основной характер работ?
iabbliz|2013/07/16 07:21:37|220 это работа по выходным, и по 10 часов работы
iabbliz|2013/07/16 07:22:31|Не 220 а 200 что то загнул
nukewin|2013/07/16 07:22:47|почём оплачивают час?
iabbliz|2013/07/16 07:24:05|600 руб на стороннего контрагента, и 370 на работы внутренние
iabbliz|2013/07/16 07:25:29|Характер работ разный
nukewin|2013/07/16 07:28:35|ну так и вполне внятная ЗП выбегает из этих часов.
Что тогда не устраивает?
iabbliz|2013/07/16 07:29:20|Меня все устраивает. Работы новой не ищу.
iabbliz|2013/07/16 07:29:44|Вообще просто хотел узнать как работается из дома
nukewin|2013/07/16 07:30:54|непросто
iabbliz|2013/07/16 07:31:28|Все таки есть нехватка живого общения, по скайпу то общаемся регулярно, всякие совещания и т.п.
nukewin|2013/07/16 07:31:38|не то, радикально
nukewin|2013/07/16 07:31:48|живой коллектив, с которыми в курилке пообщаться - на порядок лучше для психики
iabbliz|2013/07/16 07:32:01|Ага...
iabbliz|2013/07/16 07:32:22|Плюс смены обстановки нету
iabbliz|2013/07/16 07:33:57|Возможно если бы были в городе центры &quot;коворкинга&quot; было круто
iabbliz|2013/08/20 09:15:20|Привет, читал <a href="http://habrahabr.ru/post/190536/">http://habrahabr.ru/post/190536/</a> ? 
Наверно этого и не хватает при удаленной работе. Сам еще не пробовал
nukewin|2013/08/20 09:16:25|ни в носу поковырять, ни с голым пузом перед монитором посидеть
iabbliz|2013/08/20 09:16:48|<ss type="laugh">:D</ss>
iabbliz|2013/08/23 08:47:09|Привет, слушай подскажи у Вас с загрузкой как сейчас?
Просто у нас, что-то последние 2 месяца то есть то нет работы (пораспрашивал у других, говорят каждое лето такое бывает)
nukewin|2013/08/23 08:47:30|мы &lt;&gt; все
iabbliz|2013/08/23 08:48:18|везет
