author|0|body_xml
iabbliz|2013/08/01 04:44:03|Добрый день, меня зовут Антон программист с Раздолья
iabbliz|2013/08/01 04:44:06|Вы тут?
orsanchik|2013/08/01 05:48:55|Я вас знаю?
iabbliz|2013/08/01 05:49:12|Скорее нет, чем да
iabbliz|2013/08/01 05:49:21|Вы работали с Раздольем?
orsanchik|2013/08/01 05:49:29|да, такое было
iabbliz|2013/08/01 05:49:44|Просто в базе Биаксплена, документ захвачен Вами
orsanchik|2013/08/01 05:49:51|оу
iabbliz|2013/08/01 05:49:51|рздЗаявкаНаПроведениеИспытаний
iabbliz|2013/08/01 05:50:08|вот и не знаю откидывать Вас, или лучше чтобы вы поместили его
orsanchik|2013/08/01 05:50:47|дело в том, что я сейчас в отпуске и не могу добраться до рабочего компьютера, если есть возможность - захватите его насильно
iabbliz|2013/08/01 06:20:27|могу только вас откинуть
iabbliz|2013/08/01 06:20:36|всмысле все что там делали пропадет
orsanchik|2013/08/01 06:20:55|да, там все должно быть сохранено
