author|0|body_xml
iabbliz|2013/08/01 11:36:12|Привет, меня зовут Антон. Программист с Раздолье
iabbliz|2013/08/01 11:36:13|тут?
ovchinnikov_v_a|2013/08/01 11:38:21|
iabbliz|2013/08/01 11:39:22|Привет
iabbliz|2013/08/01 11:39:29|ты в Конфигураторе облако?
ovchinnikov_v_a|2013/08/01 11:39:50|да, обновлю отчет сейчас и освобожу
ovchinnikov_v_a|2013/08/01 11:39:57|что-то он долго думает...
iabbliz|2013/08/01 11:40:35|ок, напиши плиз когда
ovchinnikov_v_a|2013/08/01 11:40:47|да, обязательно, думаю минут 5 не дольше
ovchinnikov_v_a|2013/08/01 11:51:13|свободно
iabbliz|2013/08/01 11:51:21|Спасибо
