author|0|body_xml
iabbliz|2013/04/09 04:58:21|Ут
iabbliz|2013/04/08 16:17:58|Тут?
iabbliz|2013/04/09 05:20:38|на it.vdonske
point212|2013/04/09 05:20:49|што?
iabbliz|2013/04/09 05:20:54|ппц драма=)
iabbliz|2013/04/09 05:21:02|чуть не порвался
point212|2013/04/09 05:21:03|Ааа )) ну да
iabbliz|2013/04/09 05:21:04|от смеха
iabbliz|2013/04/09 05:21:05|вчера
point212|2013/04/09 05:21:08|Чувак радеет за родное дело )
point212|2013/04/09 05:21:18|Интересно было бы на него посмотреть.
iabbliz|2013/04/09 05:21:33|мне еще Дореми развеселил
iabbliz|2013/04/09 05:21:35|=)
iabbliz|2013/04/09 05:21:39| про базу данных
point212|2013/04/09 05:21:42|<ss type="smile">:)</ss>)))
point212|2013/04/09 05:22:07|Статистическую информацию подбивать
iabbliz|2013/04/09 05:22:15|=)
point212|2013/04/09 05:23:55|А я в отпуске <ss type="tongueout">:-p</ss>
iabbliz|2013/04/09 05:24:04|круто че=)
iabbliz|2013/04/09 05:24:10|а я работаю
point212|2013/04/09 05:24:23|Да я тоже щас буду.
iabbliz|2013/04/24 12:19:30|Привет
iabbliz|2013/04/24 12:19:31|тут?
iabbliz|2013/04/24 13:26:25|ты еще в отпуске что ли?
point212|2013/04/24 13:26:40|я из него и не выйду )
iabbliz|2013/04/24 13:26:48|ты с последующим?
point212|2013/04/24 13:26:51|ага
iabbliz|2013/04/24 13:26:58|уже написал?
iabbliz|2013/04/24 13:27:01|заявление?
point212|2013/04/24 13:27:01|не нравится мне куда этот поезд едет. я решил сойти
point212|2013/04/24 13:27:10|напишу после отпуска. с Таней обговорил уже
iabbliz|2013/04/24 13:27:26|удаленно начал работать?
point212|2013/04/24 13:27:29|ага
iabbliz|2013/04/24 13:27:34|и как тебе?
point212|2013/04/24 13:27:40|Но не получается пока. Может придется просто оффлайн работу искать
iabbliz|2013/04/24 13:27:57|дык сначала найди, потом уходи
point212|2013/04/24 13:28:05|Да не очень. Поскольку четких заданий и сроков не ставят, а сам я не привык сбее работу искать и контролировать ее - получается не очень.
point212|2013/04/24 13:28:17|Ну я нашёл работу то.
point212|2013/04/24 13:28:25|Админ + менеджер сайта.
iabbliz|2013/04/24 13:28:26|куда?
point212|2013/04/24 13:28:33|Да чувак один. Давно знаю его.
point212|2013/04/24 13:28:55|Грит админом конечно возьму, но щас работы на админа мало. Не за что тебе платить. Давай еще менеджером сайта будешь.
point212|2013/04/24 13:29:01|Вот я и пробую
iabbliz|2013/04/24 13:29:51|давно бы уже 1ску начал учить=)
iabbliz|2013/04/24 13:30:11|или врожденное несворение от нее?=)
point212|2013/04/24 13:30:35|не то чтобы несварение. но не тянет
point212|2013/04/24 13:30:57|тебе вот хочется стать например землекопом? снится как ты поля вскапываешЬ? <ss type="smile">:)</ss> когда мимо лопат проходишь тянет их пощупать, осмотреть?
iabbliz|2013/04/24 13:31:04|=)))
point212|2013/04/24 13:31:11|вот и у меня так же насчет 1С-ки. Вроде можно конечно заняться. Но не моё это
point212|2013/04/24 13:31:23|Я б в Ява программисты пошел. Там платят хорошо. И интересно. Но от Явы меня тошнит
iabbliz|2013/04/26 06:43:56|Привет
iabbliz|2013/04/26 06:44:08|Что то подсел на Теорию большого взрыва
iabbliz|2013/04/26 06:44:09|=)
iabbliz|2013/07/25 08:01:01|Привет
iabbliz|2013/07/25 08:01:34|Что то не работают сайты, точнее инет есть, а по имени с компьютера почему то не открываются
iabbliz|2013/07/25 08:01:36|с утра работало
iabbliz|2013/07/25 08:01:43|ничего не ставил вроде сегодня
iabbliz|2013/07/25 08:01:46|комп ребутнул
iabbliz|2013/07/25 08:01:56|на телефоне инет работает, сайты открываются
iabbliz|2013/07/25 08:02:31|Аська не подрубается
iabbliz|2013/07/25 08:02:59|вырубил антивирь, нифига
iabbliz|2013/07/25 08:03:36|скайп работает
iabbliz|2013/07/25 08:04:08|в днсах прописано 8,8,8,8 
4,4,4,4
iabbliz|2013/07/25 08:05:35|не ужели 8.8.8.8 не работает?
iabbliz|2013/07/25 08:05:42|WTF?
iabbliz|2013/07/25 08:23:35|все починил
iabbliz|2013/07/25 08:23:44|дай бог тебе здоровья
iabbliz|2013/07/25 08:23:50|всегда сразу подскажешь что чего
point212|2013/07/25 08:39:42|Я бы с удовольствием тебе подсказал, если б ты позвонил мне на телефон
point212|2013/07/25 08:39:52|А то я как раз с нашей АТСкой ёбся в серверной
iabbliz|2013/07/25 08:39:55|да я шучу
point212|2013/07/25 08:39:59|а потом кушал
point212|2013/07/25 08:40:05|И чо было?
iabbliz|2013/07/25 08:41:41|а хз че было
iabbliz|2013/07/25 08:41:45|зашел в настройки АДСЛ
iabbliz|2013/07/25 08:41:52|поставил получение ДНСа автоматом
iabbliz|2013/07/25 08:42:07|он получил какой то, я взял его прописал в настройках у себя на компе
iabbliz|2013/07/25 08:42:09|и все взлетело
point212|2013/07/25 08:42:48|А гугловские ДНСы что ли умерли?
point212|2013/07/25 08:42:54|На будущее, познай команду nslookup
point212|2013/07/25 08:43:17|вариант применения 
nslookup ya.ru 8.8.8.8
спросит у 8.8.8.8 про &quot;ya.ru&quot;.
point212|2013/07/25 08:43:24|И там можно будет видеть уже по ответу, что он говорит
iabbliz|2013/07/25 08:43:39|ух ты
iabbliz|2013/07/25 08:44:13|ага получает ответ
iabbliz|2013/07/25 08:44:20|ну обратно не буду ставить
point212|2013/07/25 08:44:22|Вэк жЫвЫ, вЭк учЫс
iabbliz|2013/07/25 08:45:05|&quot;Не заслуживающий доверия ответ:&quot;
доставляет
point212|2013/07/25 08:45:10|Там еще есть расширенный синтаксис. Просто пишешь nslookup и запусмкаешь.
Потом внутрях говоришь 
debug 
d2

server 8.8.8.8

и потом просто пишешь

ya.ru
point212|2013/07/25 08:45:15|А он пишет подробности запроса
iabbliz|2013/07/25 08:45:17|т.е. он напиздел? что ли=)
point212|2013/07/25 08:45:18|Все-все-все
point212|2013/07/25 08:45:29|Но в винде неудобная эта утилита. Непонятный вывод дает. В линухе лучше
point212|2013/07/25 08:45:48|Нет. Это особенности протокола ДНС. Сервак просто говорит что он не отвечает за свой ответ
iabbliz|2013/07/25 08:46:00|аахахха=)
iabbliz|2013/07/25 08:46:03|смешно
point212|2013/07/25 08:46:03|Т.е. тот ДНС который реально держит зону я.ру - будет авторитетным. А все остальные - нет
iabbliz|2013/07/25 08:46:07|а хера отвечать тогда=)
point212|2013/07/25 08:46:18|Там еще куча тонкостей. В т.ч. и заверение подписей
iabbliz|2013/07/25 08:46:27|ладно ладно, это я так
iabbliz|2013/07/25 08:46:28|)
