author|0|body_xml
iabbliz|2013/04/09 09:18:58|
iabbliz|2013/04/09 09:21:03|Добрый день, Александр.
iabbliz|2013/04/09 09:21:12|Антон Громов сегодня будет?
iabbliz|2013/04/09 09:21:28|несколько задач дал, что по ним пока не понятно
iabbliz|2013/04/09 09:21:42|надо ли их передать Александру Кузнецову?
iabbliz|2013/04/09 09:22:58|Кузнецов Александр, сейчас на месте?
programmistcfin|2013/04/09 09:23:28|Да. Секунду мы настройки произведем. И он выйдет в скайп
programmistcfin|2013/04/09 09:24:19|По всем вопросам можно будет обращаться ко мне. Так же по постановке задач и проч. Как я могу получить доступ к списку задач?
iabbliz|2013/04/09 09:26:25|Список актуальных задач можно двумя путями получить. Либо я буду слать файл допустим каждое утро на почту, либо надо настроить VPN подключение (Настройку перешелю если надо) и там брать файл самостоятельно. 
В любом случае выдавать задачи буду сам, чтобы не делать одновремено одну и ту же задачу.
iabbliz|2013/04/09 09:28:38|На какой адрес переслать настройку?
programmistcfin|2013/04/09 09:28:57|<a href="mailto:subcontract@complex-finance.ru">subcontract@complex-finance.ru</a>
iabbliz|2013/04/09 09:29:57|Переслал.
programmistcfin|2013/04/09 09:30:14|ок
iabbliz|2013/04/09 09:40:48|<quote author="programmistcfin" authorname="Александр Малыгин(Комплекс-Финанс)" conversation="programmistcfin" guid="x173c33edb358ee8c93ab6489e4aba73422b09af9ffe08e0029d0bc60c8e1edea" timestamp="1365500377"><legacyquote>[13:39:37] Александр Малыгин(Комплекс-Финанс): </legacyquote>В каком каталоге будут хранистя задачи?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>Почему будут? Они сейчас если ВПН настроено лежат по адресу: <a href="\\192.168.10.6\It1c">\\192.168.10.6\It1c</a>
iabbliz|2013/04/09 09:40:57|BugsTracking_Actual.xlsx
iabbliz|2013/04/09 09:41:04|лучше его копировать
programmistcfin|2013/04/09 09:41:08|просто несколько каталогов
iabbliz|2013/04/09 09:41:08|и смотреть уже локально
programmistcfin|2013/04/09 09:41:12|решил уточнить
programmistcfin|2013/04/09 09:41:17|все поня, спасибо
iabbliz|2013/04/09 09:46:23|по задачам мне Вам сначала говорить какие делать или сразу напрямую?
iabbliz|2013/04/09 09:46:30|Антону и Александру
iabbliz|2013/04/09 09:51:58|ок.
programmistcfin|2013/04/09 09:52:05|Я потом буду их опрашивать кому какие задачи дали
iabbliz|2013/04/09 09:52:50|jr
iabbliz|2013/04/09 09:52:52|ок
iabbliz|2013/04/10 05:09:20|Доброе утро.
iabbliz|2013/04/10 05:09:36|в данный момент у Антона 
Зак22 Создание поступления – должен быть оптовый тип цен
iabbliz|2013/04/10 05:09:48|у Александра 
НСИ.76 Справочник номенклатура – Дублирование свойств запретить, некоторые из свойств добавлять по умолчанию при создании(например Пантон)
iabbliz|2013/04/10 05:09:57|и та и та в работе
programmistcfin|2013/04/10 05:10:02|хорошо
iabbliz|2013/04/10 05:10:17|ну по крайней мере на вечер вчера были в работе.
iabbliz|2013/04/10 05:10:25|мб уже сделали, не отписывались
iabbliz|2013/04/10 05:19:45|Можете дать почту Громова и Кузнецова?
programmistcfin|2013/04/10 05:20:44|все сообщения для них идут через административный ящик <a href="mailto:subcontract@complex-finance.ru">subcontract@complex-finance.ru</a>. Затем я передаю сообщения программистам
iabbliz|2013/04/10 05:20:54|ок.
iabbliz|2013/04/10 05:21:13|Кинул на почту задачи которые можно выполнять
programmistcfin|2013/04/10 05:21:20|ок
iabbliz|2013/04/10 05:21:21|между собой пусть сами делят
programmistcfin|2013/04/10 05:21:30|я распределю
iabbliz|2013/04/10 05:21:32|ок.
programmistcfin|2013/04/10 05:43:08|когда  наш специалист связывался с консультантом, ответ пришел, что такого отчета нет...Или я что-то недопонял?
iabbliz|2013/04/10 05:43:38|&quot;рздОтчетОКонтактах&quot;
iabbliz|2013/04/10 05:43:41|в Конфигурации
iabbliz|2013/04/10 05:43:43|есть
iabbliz|2013/04/10 05:43:52|по нему еще 3 задачи
iabbliz|2013/04/10 05:43:54|также
iabbliz|2013/04/10 05:46:15|по ошибкам начинающихся с Прод. это к Зиатдинова Эльвира Скайп: ellizia2012
programmistcfin|2013/04/10 05:46:29|ок
iabbliz|2013/04/10 11:33:30|Григорий Пасечник
iabbliz|2013/04/10 11:33:42|vapiarius
iabbliz|2013/04/11 04:40:34|Добрый день.
iabbliz|2013/04/11 04:40:50|по тем задачам что вчера давал, можете написать письмо что сделали.
programmistcfin|2013/04/11 04:41:21|Добрый день!
programmistcfin|2013/04/11 04:41:29|сейчас составлю список
programmistcfin|2013/04/11 04:44:14|Склад 47,Сервис.13 -  к вечеру были не доделаны, узнаю у программистов на какой они стадии, отпишу по ним мин через 20-30.
programmistcfin|2013/04/11 04:44:35|По фил.8 не приступали
iabbliz|2013/04/11 04:44:52|ок, спасибо.
iabbliz|2013/04/11 04:50:26|НСИ.76 ?
programmistcfin|2013/04/11 04:50:49|секунду
iabbliz|2013/04/11 04:51:02|давал ранее Кузнецову
programmistcfin|2013/04/11 04:53:41|сделано
iabbliz|2013/04/11 04:53:46|ок.
iabbliz|2013/04/11 05:14:04|хорошо.
programmistcfin|2013/04/11 05:15:04|не можем зайти по удаленному доступу. Там не менялись пароли/пользователи?
iabbliz|2013/04/11 05:42:26|Уточните у Дмитрия Смирнова
programmistcfin|2013/04/11 05:42:49|Хорошо.
programmistcfin|2013/04/11 05:43:14|в таком случае Сервис 13  - не сделана
iabbliz|2013/04/11 05:43:29|ок
