author|0|body_xml
iabbliz|2013/02/12 04:38:37|ѕривет
iabbliz|2013/02/12 04:38:52|как будто выходной и € шабашу
iabbliz|2013/02/12 04:38:56|такое ощущение
sanek13666|2013/02/12 04:39:44|когда в москву поедешь?
iabbliz|2013/02/12 04:40:01|скорей всего в п€тницу
iabbliz|2013/02/12 04:40:13|вечером
iabbliz|2013/02/12 04:40:18|отсюда
iabbliz|2013/02/12 04:42:17|” вас там как?
sanek13666|2013/02/12 04:42:34|как обычно ∆...
sanek13666|2013/02/12 04:42:51|поинт все еще с сетью воюет
iabbliz|2013/02/12 04:43:06|пон€тно
sanek13666|2013/02/12 04:44:40|јнтоха а ты как делал в автоите текс поверх всех окон?
sanek13666|2013/02/12 04:44:46|есть исходник?
iabbliz|2013/02/12 04:44:49|да
iabbliz|2013/02/12 04:44:55|D
iabbliz|2013/02/12 04:45:02|D\ivanov
iabbliz|2013/02/12 04:45:07|msgbox
iabbliz|2013/02/12 04:45:10|ищи такой
sanek13666|2013/02/12 04:45:23|спасибо
iabbliz|2013/02/12 04:45:26|=)
iabbliz|2013/02/12 04:45:31|на рыбалку то  пойдем?
iabbliz|2013/02/12 04:45:34|=)))
sanek13666|2013/02/12 04:45:49|да
sanek13666|2013/02/12 04:46:02|€ на удочки деньги откладываю
iabbliz|2013/02/12 05:22:17|“ы ролики смотришь?
iabbliz|2013/02/12 05:22:21|или уже забил?
iabbliz|2013/02/12 05:22:39|только если будешь смотреть, смотри все подр€д
iabbliz|2013/02/12 05:22:41|не пропускай
sanek13666|2013/02/12 05:23:23|начал смотреть... хочу на алмазе себе 1с поставить и базу дл€ тестов
iabbliz|2013/02/12 05:23:42|правильно
iabbliz|2013/02/12 05:23:57|хот€ на алмазе хер дадут поделать
sanek13666|2013/02/12 05:24:38|вобщем начну тупо повтор€ть все дейсти€.... база то будет на алмазе... а делать то из дома
iabbliz|2013/02/12 05:25:20|в начале тебе то база особо не нужна
iabbliz|2013/02/12 05:25:28|всмысле можно тестовую пустую сделать
iabbliz|2013/02/12 05:38:37|можно и дома поставить
sanek13666|2013/02/12 05:38:58|у мну ломаной нет
iabbliz|2013/02/12 05:39:14|дык =)
