author|0|body_xml
iabbliz|2013/02/11 05:25:37|Привет, как будет время напиши
iabbliz|2013/02/11 05:50:16|Я же в КругМодел вхожу под общим пользователм
iabbliz|2013/02/11 05:50:26|а можно для меня сделать, чтобы под собой заходил?
sapervodichka|2013/02/11 05:50:40|да после обеда скину
iabbliz|2013/02/11 05:50:47|хорошо, спасибо.
sapervodichka|2013/02/11 05:51:38|File=&quot;P:\UserFiles\Иванов Антон\Круг\KrugStorage_Ivanov&quot;;
sapervodichka|2013/02/11 05:51:50|СДЕЛАЙ АРХИВ кругмодел
sapervodichka|2013/02/11 05:51:59|восстанови в базу которуя я скинул
iabbliz|2013/02/11 05:52:14|архив вмысле DT?
sapervodichka|2013/02/11 05:53:08|да,сделай dt KrugModel и восстанови его в файловую базу (путь выше)
sapervodichka|2013/02/11 05:53:15|это будет твое хранилище
sapervodichka|2013/02/11 05:53:17|подключись под ivanov 123
iabbliz|2013/02/11 05:53:17|а пользователя
iabbliz|2013/02/11 05:53:20|ок
iabbliz|2013/02/11 05:53:28|ща там пользователи зашли
iabbliz|2013/02/11 05:53:32|DT не могу выгрузить
sapervodichka|2013/02/11 05:54:00|делай я выгнал
sapervodichka|2013/02/11 05:54:16|тока ща, запустил?
iabbliz|2013/02/11 05:54:38|Фоновое...
sapervodichka|2013/02/11 05:54:45|ретрай
iabbliz|2013/02/11 05:54:46|слушай а если объекты заблокировал
iabbliz|2013/02/11 05:54:54|надо их в хранилище сначала положить?
sapervodichka|2013/02/11 05:55:07|на выходные лучше да
sapervodichka|2013/02/11 05:55:14|у тебя подвисон был
sapervodichka|2013/02/11 05:55:23|я их положил
sapervodichka|2013/02/11 05:55:32|архив запустил?
iabbliz|2013/02/11 05:55:39|Пошла выгрузка
sapervodichka|2013/02/11 05:55:45|ок
sapervodichka|2013/02/11 05:55:51|дальше по плану
iabbliz|2013/02/11 05:55:57|Спасибо.
sapervodichka|2013/02/11 05:56:06|<ss type="nod">(nod)</ss>нзч
iabbliz|2013/02/11 05:56:09|млин опять пользователи
iabbliz|2013/02/11 05:56:10|=)
iabbliz|2013/02/11 05:56:13|Разработчик...
sapervodichka|2013/02/11 05:56:22|давай еще жми
iabbliz|2013/02/11 05:56:31|жму
iabbliz|2013/02/11 05:56:32|=)
sapervodichka|2013/02/11 05:56:37|пошло?
iabbliz|2013/02/11 05:56:42|сам файлик появился
sapervodichka|2013/02/11 05:56:47|ок
iabbliz|2013/02/11 05:56:48|надеюсь не пробьют
iabbliz|2013/02/11 05:57:37|Так это ты в час ночи, мои объекты складывал???
sapervodichka|2013/02/11 05:58:22|да
iabbliz|2013/02/11 05:58:23|жесть, еще раз спасибо=)
iabbliz|2013/02/11 05:59:49|что то откинуло от сервера
iabbliz|2013/02/11 06:00:09|интернет есть
sapervodichka|2013/02/11 06:00:11|меня тоже (я в командировке)
iabbliz|2013/02/11 06:00:34|понятно, буду ждать.
sapervodichka|2013/02/11 06:01:34|да, может сисадмин что с вебсервисом делает
sapervodichka|2013/02/11 06:01:45|я на него наехал несколько минут назад
iabbliz|2013/02/11 06:02:33|слушай раз я удаленно работаю, мне надо кому отчитыватся что на месте  и т.п.
sapervodichka|2013/02/11 06:03:07|можешь мне в скайп писать
sapervodichka|2013/02/11 06:03:14|в течение дня
sapervodichka|2013/02/11 06:03:39|если куда то с понедельника по пятницу выпадешь то Грибкова предупреждай
sapervodichka|2013/02/11 06:04:08|(мне пиши если на 2-3 часов в течение дня выпадаешь, ему если на целый день)
iabbliz|2013/02/11 06:04:23|все понял.
