author|0|body_xml
iabbliz|2013/05/31 10:39:05|
iabbliz|2013/05/31 10:39:11|Привет
shishov_a_g|2013/05/31 10:39:12|Привет
shishov_a_g|2013/05/31 10:39:28|Житных к тебе направил
shishov_a_g|2013/05/31 10:39:53|Нам просто отчет надо писать, гже регистр заявок используется
shishov_a_g|2013/05/31 10:40:04|по которым задание на ПРР делает движеня
iabbliz|2013/05/31 10:40:15|Задание на ПРР делает движения
iabbliz|2013/05/31 10:40:32|по УЛ-06 не сделано:
iabbliz|2013/05/31 10:41:12| - формирование документа Приходный ордер и ПТиУ (жду когда их доделают)
 - документ Закрытие задания на ПРР
iabbliz|2013/05/31 10:41:18|остальное все сделано
iabbliz|2013/05/31 10:45:01|кстати по поповоду движений
iabbliz|2013/05/31 10:45:04|задания на ПРР
iabbliz|2013/05/31 10:45:17|они меня их просили сделать, еще до отъезда в Москву
iabbliz|2013/05/31 10:45:20|что я и сделал.
iabbliz|2013/05/31 10:45:33|это было 16 или 17 числа
shishov_a_g|2013/05/31 10:46:22|главное сегодня есть
iabbliz|2013/05/31 10:46:25|=)
iabbliz|2013/05/31 12:23:23|ок.
shishov_a_g|2013/05/31 13:40:46|Не делать 31.05.13 - таким примечанием отмечено что не надо делать
iabbliz|2013/05/31 13:40:53|ок
shishov_a_g|2013/05/31 13:42:11|а когда начнёшь знаешь уже примерно?
iabbliz|2013/05/31 13:43:08|примерно вторая половина понедельника
iabbliz|2013/05/31 13:43:10|после обеда
iabbliz|2013/06/03 11:58:18|Привет
shishov_a_g|2013/06/03 11:58:28|Привет
iabbliz|2013/06/03 12:00:45|можно позвонить?
shishov_a_g|2013/06/03 12:01:16|А срочно? У меня просто на 16-00 был разговор запланирован Вот-вот начнется
iabbliz|2013/06/03 12:01:36|нет не срочно, вопросы по УП-16
iabbliz|2013/06/03 13:37:57|&quot;Вид резервирования Нетиповой Перечисление (МТР, ГП)&quot;

необходимо добавить перечисление?
iabbliz|2013/06/04 10:00:01|Привет
iabbliz|2013/06/04 10:28:03|можно позвонить?
shishov_a_g|2013/06/04 10:28:29|ща 10 мин
iabbliz|2013/06/04 10:28:34|по поводу обработки снятия резервов, можешь в кратце рассказать как должна работать
shishov_a_g|2013/06/04 10:35:23|?
iabbliz|2013/06/04 10:36:18|сек позвонили
iabbliz|2013/06/04 10:55:23|можно?
iabbliz|2013/06/04 10:55:33|одновременно все позвонили...
shishov_a_g|2013/06/04 10:57:49|да и мне вот
iabbliz|2013/06/04 10:58:05|напишите когда
iabbliz|2013/06/04 10:58:11|можно будет позвонит
iabbliz|2013/06/04 11:27:02|Надо поговорить=)
iabbliz|2013/06/04 11:27:06|уже все приплыл
iabbliz|2013/06/04 11:27:06|=)
shishov_a_g|2013/06/04 11:27:16|у меня Самир)
iabbliz|2013/06/04 11:28:24|что ж такое=)
iabbliz|2013/06/04 12:08:56|ситуация не изменилась?
iabbliz|2013/06/04 12:30:27|пилохо
iabbliz|2013/06/04 12:30:38|значит пока Пилю как понял
shishov_a_g|2013/06/04 12:30:53|потом же переделывать придется
iabbliz|2013/06/04 12:31:15|думаю что не сильно=)
iabbliz|2013/06/04 12:31:21|Когда Вы освободитесь?
shishov_a_g|2013/06/04 12:31:57|да тут как-то совсем болото Через час может
iabbliz|2013/06/05 09:53:33|<files alt="отправил (-а) файл &quot;ПодборПаллет.jpg&quot;">
<file size="130944" index="0">ПодборПаллет.jpg</file></files>
shishov_a_g|2013/06/05 09:54:43|
iabbliz|2013/06/05 11:41:45|т.е. мне УП-16 пока не делать?
shishov_a_g|2013/06/05 11:44:18|ну да
shishov_a_g|2013/06/05 11:44:27|а всё равно ответ на письмо ждать
iabbliz|2013/06/05 11:45:04|а по обработке резервирования?
shishov_a_g|2013/06/05 11:45:39|ну та же фигня Реально ПР-14 тормозит другие ТП больше, чем УП-16
iabbliz|2013/06/06 09:33:56|Привет
iabbliz|2013/06/06 09:33:57|да
iabbliz|2013/06/06 12:36:32|&quot;Продлить резерв до &quot;
ты говорил брать из документа регистратора Резервирования товаров (Последний приход )
iabbliz|2013/06/06 12:36:37|но он в ТЧ документа
iabbliz|2013/06/06 12:36:41|как тогда быть
shishov_a_g|2013/06/06 12:41:53|беда
shishov_a_g|2013/06/06 12:42:14|попахивает новым регистром сведений
iabbliz|2013/06/06 12:42:34|я нос закрою
shishov_a_g|2013/06/06 12:42:44|не ну а как иначе?
iabbliz|2013/06/06 12:42:58|не совсем понял зачер РС=)
iabbliz|2013/06/06 12:43:02|зачем*
shishov_a_g|2013/06/06 12:43:12|ну смотри Из ТЧ документа это не вытащить
shishov_a_g|2013/06/06 12:43:24|в регистр резервов помещать тоже не вариант
shishov_a_g|2013/06/06 12:43:31|значит надо новый РС делать
iabbliz|2013/06/06 12:43:34|что помещать то в РС
iabbliz|2013/06/06 12:43:40|какую инфу
shishov_a_g|2013/06/06 12:43:55|ну номер документа резервирования
shishov_a_g|2013/06/06 12:44:06|и номер паллеты
shishov_a_g|2013/06/06 12:44:20|и дату &quot;Продлить резерв до&quot;
iabbliz|2013/06/06 12:45:13|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xf513472679cfb33b8b80cec5f05b0fe1bfd9dcdc17263e7240f3181b8c9d0d1f" timestamp="1370522635"><legacyquote>[16:43:55] Шишов Антон: </legacyquote>ну номер документа резервирования<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>Ссылку на документ
shishov_a_g|2013/06/06 12:45:16|ага
iabbliz|2013/06/06 12:45:18|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xc4a5cd5281995746ba0de8b68cb234e63db43a9a48a317842e0c428fd36b5c7c" timestamp="1370522646"><legacyquote>[16:44:06] Шишов Антон: </legacyquote>и номер паллеты<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>ссылку на Паллету
shishov_a_g|2013/06/06 12:45:22|ага
iabbliz|2013/06/06 12:45:31|как назвать
iabbliz|2013/06/06 12:45:36|подчинен регистратору?
shishov_a_g|2013/06/06 12:47:04|назвать &quot;Сроки продления резервирования паллет&quot;
shishov_a_g|2013/06/06 12:47:41|по поводу подчинения не знаю На что повлияет подчиним или нет?
iabbliz|2013/06/06 12:48:05|нельзя будет вручную ввести
iabbliz|2013/06/06 12:48:08|только через документ
shishov_a_g|2013/06/06 12:48:43|а ну давай подчиним
shishov_a_g|2013/06/06 12:49:10|ну это адекватное решение проблемы-то на твой взгляд?
iabbliz|2013/06/06 12:50:12|возможно не совсем понимаю предметную область, поэтому сложно оценивать
iabbliz|2013/06/06 12:50:25|почему нельзя таким же образом выбрать из документа?
iabbliz|2013/06/06 12:50:29|из РС поидее проще
shishov_a_g|2013/06/06 12:50:30|а при чем тут область?
iabbliz|2013/06/06 12:50:32|когда он уже есть
shishov_a_g|2013/06/06 12:50:43|ну из документа непонятно как строку выбрать
shishov_a_g|2013/06/06 12:51:18|хотя конечно там номер паллеты не может быть в 2х строках
iabbliz|2013/06/06 12:51:21|а как в РС писать если непонятно как из документа выбрать
shishov_a_g|2013/06/06 12:51:35|но типа считается, что из регистра быстрее вроде
iabbliz|2013/06/06 12:52:25|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="x374f461147da44558a40e37475964845c6e68abd75d934367e1cb6080acb243d" timestamp="1370523095"><legacyquote>[16:51:35] Шишов Антон: </legacyquote>но типа считается, что из регистра быстрее вроде<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не могу оценить, наверное да
