author|0|body_xml
iabbliz|2013/09/04 12:20:15|
iabbliz|2013/09/04 12:20:31|Привет
svetikmml|2013/09/04 12:21:04|)) привет
svetikmml|2013/09/04 12:23:19|узнал как-т
iabbliz|2013/09/04 12:23:36|узнал
iabbliz|2013/09/04 12:23:40|=)
svetikmml|2013/09/04 12:24:51|<ss type="tongueout">:P</ss>
iabbliz|2013/09/04 12:25:29|ничего себе поворот
iabbliz|2013/09/04 12:25:30|=)
svetikmml|2013/09/04 12:25:57|сорри, больше не буду
iabbliz|2013/09/04 12:26:53|хорошо, <ss type="tongueout">:P</ss>
svetikmml|2013/09/04 12:31:04|Антон, а ты ж совсем молоденький?<ss type="smile">:)</ss>))))
iabbliz|2013/09/04 12:41:01|28 лет
iabbliz|2013/09/04 12:41:05|вроде=)
svetikmml|2013/09/04 12:48:59|ух) дак не совсем. А я хотела подразниться. А с тобой надо серьезно общаться, с таким взрослым человеком.
iabbliz|2013/09/04 12:58:24|помойму нет =) а что есть свидетели?=)
svetikmml|2013/09/04 13:02:37|ну нет так нет )) поковыряюсь в коде, может чего и найду )
iabbliz|2013/09/04 13:03:04|<ss type="smile">:)</ss>
iabbliz|2013/09/05 10:51:12|Привет=)
svetikmml|2013/09/05 10:51:58|просто поздоровалась, приставать пока сил нет
iabbliz|2013/09/05 10:54:15|<ss type="laugh">:D</ss>
iabbliz|2013/09/23 15:12:17|Привет ты по Тиму в БПЛе?
iabbliz|2013/09/23 15:12:43|если да напиши когда выйдешь
svetikmml|2013/09/23 15:12:51|привет, я
iabbliz|2013/09/23 15:13:08|а можно поставлю на скачивание там?
svetikmml|2013/09/23 15:13:21|Поставь.Я ненадолго. Потерпишь мин 30? или срочно
iabbliz|2013/09/23 15:13:33|я поставлю и уйду
iabbliz|2013/09/23 15:13:36|через 30 мин зайду
svetikmml|2013/09/23 15:13:38|хорошо )
svetikmml|2013/09/23 15:13:44|я напишу тебе
iabbliz|2013/09/23 15:14:29|ок, отпустил
iabbliz|2013/09/23 15:39:08|=))
iabbliz|2013/09/23 15:39:23|я работал с хранилищем
iabbliz|2013/09/23 15:39:31|все остальное совпадает с твоим
svetikmml|2013/09/23 15:41:58|я не одинока )) Ну с хранилещем вроде более менее поняла как работать ) Но я даже не представляю, кто сидит в базе и можно ли выкинуть этого деятеля ))
svetikmml|2013/09/23 15:43:56|а это ты там )))
svetikmml|2013/09/23 15:45:32|Антоша, давай разберемся ))
svetikmml|2013/09/23 16:03:46|ты где спрятался?
iabbliz|2013/09/24 05:38:50|я тут
iabbliz|2013/09/24 05:38:50|=)
iabbliz|2013/09/24 05:38:56|Что хотела?
iabbliz|2013/09/27 05:48:58|Привет
svetikmml|2013/09/27 05:49:40|работаешь?
iabbliz|2013/09/27 05:49:53|да
iabbliz|2013/09/27 05:49:54|а что
svetikmml|2013/09/27 05:50:58|хотела в кино пригласить
iabbliz|2013/09/27 05:51:21|=)))
iabbliz|2013/09/27 05:51:57|всего лишь 1300 км до Москвы от меня=)
svetikmml|2013/09/27 05:52:50|какая разница, я хотела пригласить, приглашаю <ss type="laugh">:D</ss>
iabbliz|2013/09/27 05:52:56|<ss type="laugh">:D</ss>
iabbliz|2013/09/27 05:53:41|Не получится=)
iabbliz|2013/09/27 05:54:09|Женатый человек, в кино с женой или с друзьями хожу=)
svetikmml|2013/09/27 05:55:14|а мне так в кино захотелось...прям сейчас
iabbliz|2013/09/27 05:55:28|что за кино?=)
svetikmml|2013/09/27 05:55:52|веселое
svetikmml|2013/09/27 05:57:32|а ты болеешь за Ростов?
iabbliz|2013/09/27 05:57:55|футбол?
iabbliz|2013/09/27 05:58:39|неа не болею=)
svetikmml|2013/09/27 06:01:22|ну и правильно, не за кого у вас там болеть.
