author|0|body_xml
iabbliz|2013/09/19 08:39:39|Добрый день. Мне Ваш контакт дала Екатерина Смирнова.
Меня зовут Антон Иванов, работаю в Раздолье, программист.
iabbliz|2013/09/19 08:39:58|Хотел узнать подробности по поводу ошибки при печати Этикетки на рулон
iabbliz|2013/09/19 08:40:13|&quot;В документах выпуска не могу распечатать этикетки (в пр-17 тоже) по следующей ошибке:&quot;
svetlanav1512|2013/09/19 08:40:17|
svetlanav1512|2013/09/19 08:40:36|могу экран показать
iabbliz|2013/09/19 08:40:39|Самое лучше чтобы Вы показали экран
iabbliz|2013/09/19 08:40:45|можно позвонить?
svetlanav1512|2013/09/19 08:42:08|5сек
svetlanav1512|2013/09/19 08:42:23|да
iabbliz|2013/09/19 08:47:38|Еще вопрос а Вы на терминал подключаетесь под каким пользователем?
svetlanav1512|2013/09/19 08:50:26|Иващенко
