author|0|body_xml
iabbliz|2013/05/06 04:45:04|Привет
iabbliz|2013/05/06 04:48:12|как дела
tanka_rowan|2013/05/06 04:54:31|с одной стороны я чувствую себя заново родившийся, ищу квартиру, радуюсь жизни,
iabbliz|2013/05/06 04:55:49|мде=)
iabbliz|2013/05/06 04:56:03|ты говорила у Вас инвентаризация еще была
tanka_rowan|2013/05/06 04:56:13|нт на панике
tanka_rowan|2013/05/06 04:56:38|да, по инвертаризации тоже полная жопа, потому что змей решил меня загнобить и куча шабок стала ему поддакивать
iabbliz|2013/05/06 04:57:08|опись вложения сделала?
tanka_rowan|2013/05/06 04:57:12|бухи сказали, что недоделали ревизию, потому что база не работала (сканеры подключаются к базе)
tanka_rowan|2013/05/06 04:57:28|но я об этом сегодня только впервые услышала, походу хотят сделать меня виноватой во всем
tanka_rowan|2013/05/06 04:57:43|да, конечно, письмо я отправила правильно
iabbliz|2013/05/06 04:57:47|странная политика =) перед твоим уходом=)
tanka_rowan|2013/05/06 04:57:51|единственное, меня трезают смутные сомнения
iabbliz|2013/05/06 04:57:58|какие?
tanka_rowan|2013/05/06 04:58:16|мне надо дела передавать? или поставить всех перед фактом? денег походу мне не видать все равно
iabbliz|2013/05/06 04:58:34|надо
iabbliz|2013/05/06 04:58:38|только кому
tanka_rowan|2013/05/06 04:58:39|а кому?
iabbliz|2013/05/06 05:01:18|что касается производства то Сане остальное можно ему
iabbliz|2013/05/06 05:01:19|=)
iabbliz|2013/05/06 05:04:36|ну ты же так не поступишь=)
tanka_rowan|2013/05/06 05:04:43|нет конечно!
iabbliz|2013/05/06 05:04:46|тем более у них и так есть телефон мой=)
tanka_rowan|2013/05/06 05:04:50|пусть попробуют решить проблемы своими силами!
iabbliz|2013/05/06 05:05:14|=)))
tanka_rowan|2013/05/06 05:05:27|ну все, основные проблемы совести я решила <ss type="smile">:)</ss>
tanka_rowan|2013/05/06 05:06:29|или так и сижу, жду письма?
iabbliz|2013/05/06 05:06:49|змей там?
tanka_rowan|2013/05/06 05:06:58|да вроде
iabbliz|2013/05/06 05:07:12|имхо лучше с ним поговорить
iabbliz|2013/05/06 05:07:21|но не оставлять путей отступления
tanka_rowan|2013/05/06 05:07:29|да, я тоже так думаю, просто боялась сказать это вслух
tanka_rowan|2013/05/06 05:07:36|да куда уже?
iabbliz|2013/05/06 05:07:53|у тебя заявление есть?
iabbliz|2013/05/06 05:07:59|или скажешь что отправила письмом
iabbliz|2013/05/06 05:08:03|т.к. не захотели принимать
iabbliz|2013/05/06 05:08:04|?
tanka_rowan|2013/05/06 05:08:42|а тиныч пусть подписывает
tanka_rowan|2013/05/06 05:08:47|по факту мне надо сделать несколько дел
tanka_rowan|2013/05/06 05:09:08|передать дела и забрать трудовую с неиспорченной репутацией
iabbliz|2013/05/06 05:09:15|<quote author="tanka_rowan" authorname="tanka" conversation="tanka_rowan" guid="x25bb3717b620e30ed7d3ceb1676fa5d76386c582b0a0a00f2ba03566a5dde46e" timestamp="1367816927"><legacyquote>[9:08:47] tanka: </legacyquote>по факту мне надо сделать несколько дел<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>ага убрать на столе и не оставить ничего нужного на алмазе
tanka_rowan|2013/05/06 05:09:18|а кто там и что будет подписывать - пофик
tanka_rowan|2013/05/06 05:09:23|))))
tanka_rowan|2013/05/06 05:09:34|кстати, скажи мне какую справку надо для новой работы?
tanka_rowan|2013/05/06 05:09:39|мб я ее сейчас возьму?
iabbliz|2013/05/06 05:10:01|2 - НДФЛ
iabbliz|2013/05/06 05:10:11|ток тебе ее отдадут через месяц...
tanka_rowan|2013/05/06 05:10:35|слушай, а на сайте налоги.ру я не могу ее сделать?
tanka_rowan|2013/05/06 05:10:42|или там 3-ндфл?
iabbliz|2013/05/06 05:11:17|<quote author="tanka_rowan" authorname="tanka" conversation="tanka_rowan" guid="x85b551bbb91ef05397c44f1809f34b9190c095436f18e4549ff9b27595d31c26" timestamp="1367817059"><legacyquote>[9:10:59] tanka: </legacyquote>почему через месяц?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>потому что премия расчитывается хз когда
iabbliz|2013/05/06 05:11:32|а нужны все доходы
tanka_rowan|2013/05/06 05:11:38|а она показывает мои доходы за год?
tanka_rowan|2013/05/06 05:11:40|или что?
iabbliz|2013/05/06 05:11:43|за 2 года
tanka_rowan|2013/05/06 05:11:46|ясно
tanka_rowan|2013/05/06 05:11:52|для расчета больничных?
tanka_rowan|2013/05/06 05:11:55|и среднего?
iabbliz|2013/05/06 05:11:58|ага
tanka_rowan|2013/05/06 05:12:02|ясно
tanka_rowan|2013/05/06 05:13:51|(я про своего сережу)
tanka_rowan|2013/05/06 05:14:15|щас лето, девок голых по городу ходит тьма!
tanka_rowan|2013/05/06 05:14:28|наверное это конец?
tanka_rowan|2013/05/06 05:14:39|как думаешь? мужчина
iabbliz|2013/05/06 05:14:56|в отношения на расстоянии не верю...
tanka_rowan|2013/05/06 05:15:21|эх
tanka_rowan|2013/05/06 05:15:35|а если я приезжать буду?
tanka_rowan|2013/05/06 05:16:26|будь что будет
iabbliz|2013/05/06 05:16:47|точно
iabbliz|2013/05/06 05:17:47|а он в Москву не хочет?
tanka_rowan|2013/05/06 05:17:57|ну.... то хочет то нет
tanka_rowan|2013/05/06 05:18:08|он сварщик, думает что там кидалово
tanka_rowan|2013/05/06 05:18:46|он ушел с атомной, не нравился график, сейчас уходит в атоммашэкспорта, не платят денег, идет обратно на атомную
tanka_rowan|2013/05/06 05:18:53|я особо ему не советую, с собой не зову
tanka_rowan|2013/05/06 05:19:06|у него еще есть мама, которая говорит что делать, он же еще малыш <ss type="smile">:)</ss>
tanka_rowan|2013/05/06 05:25:13|хотя я тоже не знаю, кто я
tanka_rowan|2013/05/06 05:25:27|детство в жопе точно играет
iabbliz|2013/05/06 05:40:24|начинается=)
tanka_rowan|2013/05/06 05:41:01|вот у меня каждое утро начинается! с того - чтоже блять мне одеть, чтобы не быть похожей на отожравшуюся гусеницу
tanka_rowan|2013/05/06 05:42:17|знаешь какой он у меня стройняшка!
tanka_rowan|2013/05/06 06:05:06|сказал, что я должна поговорить с сн
tanka_rowan|2013/05/06 06:05:18|после планерки пойду
tanka_rowan|2013/05/06 06:05:23|через полчаса
iabbliz|2013/05/06 06:05:34|держись
tanka_rowan|2013/05/06 06:05:42|угу, молись за меня
tanka_rowan|2013/05/06 06:06:43|у
iabbliz|2013/05/06 06:07:02|говори, только не называй названия  и т.п.
iabbliz|2013/05/06 06:07:09|просто &quot;Фирма&quot;
tanka_rowan|2013/05/06 06:07:26|а зп?
iabbliz|2013/05/06 06:07:40|тебя могу остановить запрлатой здесь?
tanka_rowan|2013/05/06 06:07:44|нет
tanka_rowan|2013/05/06 06:07:48|я не верю
tanka_rowan|2013/05/06 06:07:54|платить не будут
tanka_rowan|2013/05/06 06:08:00|если будут, то недолго
iabbliz|2013/05/06 06:08:06|тогда просто скажи что предлагают ЗП которая меня устраивает
tanka_rowan|2013/05/06 06:08:14|ок
iabbliz|2013/05/06 06:08:21|если будет настаивать сказать
iabbliz|2013/05/06 06:08:33|опять же скажи что на уровне ЗП в Москве
iabbliz|2013/05/06 06:08:46|вообщем конкретных цифр старайся не называть
tanka_rowan|2013/05/06 06:08:50|ок
tanka_rowan|2013/05/06 06:10:24|спрашивали про парней
tanka_rowan|2013/05/06 06:10:34|типа - не уйдут ли парни за тобой
tanka_rowan|2013/05/06 06:11:06|с одной стороны мне это льстит, значит считают, что могут уйти? видимо я хороший начальник? имею влияние? а хули тогда меня вечно с дерьмом сравнивают?
tanka_rowan|2013/05/06 06:11:10|неадекватные люди!
iabbliz|2013/05/06 06:11:35|пидары
tanka_rowan|2013/05/06 06:11:54|что у них драгая работа и по их работе нареканий нет
iabbliz|2013/05/06 06:11:56|Омельчук в курсе что ты уходишь?
tanka_rowan|2013/05/06 06:12:01|не знаю
tanka_rowan|2013/05/06 06:12:03|думаю нет
iabbliz|2013/05/06 06:12:05|ок.
tanka_rowan|2013/05/06 06:12:09|сказала про сомела
tanka_rowan|2013/05/06 06:12:26|поняла, что речь о переводе его на мое место была действительно
tanka_rowan|2013/05/06 06:12:37|судя по их хитрым рожам
tanka_rowan|2013/05/06 06:13:14|сказал, что отдела не вижу, что работы не будет, людей ент, задач много, и если сомел обещает все сделать, то я этого делать не могу, пусть он сам справляется
iabbliz|2013/05/06 06:13:43|правильно
tanka_rowan|2013/05/06 06:14:50|и что у меня выход один - искать другую работу
iabbliz|2013/05/06 06:15:14|<quote author="tanka_rowan" authorname="tanka" conversation="tanka_rowan" guid="x1666f79280bae2f525b9e5afcf694985d5689f068e29f0968a395127417b3689" timestamp="1367820874"><legacyquote>[10:14:34] tanka: </legacyquote> и если этого недостаточно для доверия<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>это лишнее
iabbliz|2013/05/06 06:15:19|не давай повода остановить
tanka_rowan|2013/05/06 06:15:22|в итоге поняла, что это больше похоже на плач
tanka_rowan|2013/05/06 06:15:31| сказал, что у меня нет никаких претензий и обид на алмаз
tanka_rowan|2013/05/06 06:15:44|что я просто хочу перехеать в москву ближе к дочери
tanka_rowan|2013/05/06 06:15:54|ну да
tanka_rowan|2013/05/06 06:15:58|это эмоции
tanka_rowan|2013/05/06 06:16:05|я же вся на нервах
iabbliz|2013/05/06 06:17:40|выключи эмоции
iabbliz|2013/05/06 06:17:49|задача чтобы спокойно отпустили
tanka_rowan|2013/05/06 06:18:00|сполкойно - это пока не найдут замену
tanka_rowan|2013/05/06 06:18:05|это на года может затянутся
iabbliz|2013/05/06 06:18:20|спокойно это 2 недели отработки и трудовая на руках
tanka_rowan|2013/05/06 06:18:26|хорошо
tanka_rowan|2013/05/06 06:18:28|попробую
tanka_rowan|2013/05/06 06:18:46|блин, иванов, я сегодня походу нажрусь в зюзю
iabbliz|2013/05/06 06:18:55|хорошо
