author|0|body_xml
iabbliz|2013/03/15 11:05:07|Привет
iabbliz|2013/03/15 11:05:14|по задаче с наименованием
iabbliz|2013/03/15 11:05:38|реквизит Наименование увеличиваю чтобы поместилось то название  +10 символов?
iabbliz|2013/03/15 11:05:55|в спр. организации
iabbliz|2013/03/15 11:06:10|мб сразу поставить 150 максимум и все?
iabbliz|2013/03/15 11:06:21|150 для наименования предел
iabbliz|2013/03/15 11:06:28|больше 1с не даст
white_fox1|2013/03/15 11:06:48|потом необходимо проверить на печатной форме какого нить документа - так как я понял что в печатных формах используется именно это поле
iabbliz|2013/03/15 11:08:05|
white_fox1|2013/03/15 11:23:35|и все кто над этим клиентом работает будет хоть ориентироваться чего да как
iabbliz|2013/03/15 12:34:21|в цандере база edu тебе нужна?
iabbliz|2013/03/15 12:34:34|точнее Раздолье
white_fox1|2013/03/15 12:34:57|вышел
iabbliz|2013/03/15 12:35:07|спасибо
iabbliz|2013/03/18 04:39:52|Привет
iabbliz|2013/03/18 04:40:04|&quot;В базе раздолье лежит внешний отчет &quot;Информация по контрагентам&quot; , который при проверке выдает совсем иные данные чем тот, что лежит в рабочей базе. Перенесите пожалуйста отчет из одной базы в другую. Если что посмотрите письмо от клиента.&quot;
Откуда куда надо перенести
white_fox1|2013/03/18 06:20:43|перенести из базы раздолье в рабочую - так он наиболее доработан . Тако перед этим там посмотри еще одно задание , которое необходимо внести в этот отчет
white_fox1|2013/03/18 06:21:48|там необходимо выводить в вотчет в колонку регион - значение из адресного класификатора регион
white_fox1|2013/03/18 06:21:56|ты тута?
iabbliz|2013/03/18 06:22:08|тут
white_fox1|2013/03/18 06:22:28|все клир?
iabbliz|2013/03/18 06:23:53|не видел, отчет еще, ща гляну что там делается
white_fox1|2013/03/18 06:28:37|сформируй отчет в базе раздолье . Кстати давай сделаем так пока не устаканилось все необходимо просто добавить отчет из базы раздолье в рабочую базу и присвоить ему перфикс версия 2. Чтобы если что не потеря тот отчет мало ли чего там есть...
iabbliz|2013/03/18 06:30:08|в версия 2, в поле регион беру из кладра ЮрАдрес
iabbliz|2013/03/18 06:30:11|да?
white_fox1|2013/03/18 06:30:25|да
iabbliz|2013/03/18 06:34:39|Сделал.
white_fox1|2013/03/18 06:45:44|и заполнение и перенос в рабочую?
iabbliz|2013/03/18 06:45:56|заполнение?
iabbliz|2013/03/18 06:46:01|Регион?
iabbliz|2013/03/18 06:46:05|да
iabbliz|2013/03/18 06:46:09|в версию 2
iabbliz|2013/03/18 06:46:13|как ты просил
white_fox1|2013/03/18 06:46:21|ну гуд давай отчитывайся по доку и я клиенту на проверку отправлю
iabbliz|2013/03/18 06:46:37|по задачам нажал выполнить
iabbliz|2013/03/18 06:46:40|в базе учета
white_fox1|2013/03/18 06:46:59|оки
iabbliz|2013/03/18 06:48:06|Рома в ближайщие 3 дня полностью загружен(Кругом) если будут новые задачи по цандеру, лучше пока кому нибудь другому давать.
white_fox1|2013/03/18 06:48:33|есть уточнение - там в отчете в колонку попадает весь адрес целиком - а необходимо только регион
white_fox1|2013/03/18 06:49:01|и по работе эти задачи попали еще до введения системы - теперь все задачи идут на Программиста - а там кто возьмет
iabbliz|2013/03/18 06:49:32|<quote author="white_fox1" authorname="Роман Неустроев" conversation="white_fox1" guid="x85a2973fb71f92d161734215d2e84a53e8c4cc3ddf58a2c61199f0c4e55ce5c5" timestamp="1363589313"><legacyquote>[10:48:33] Роман Неустроев: </legacyquote>есть уточнение - там в отчете в колонку попадает весь адрес целиком - а необходимо только регион<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>такие вещи надо за ранее говорить особенно в том случае если на задачу выделяешь 15 мин =)
white_fox1|2013/03/18 06:49:46|и еще плиз в комментариях для меня указывай время фактическое чтобы я приыкал и ставил нормативное потом - а то я ставлю - может чето не так
iabbliz|2013/03/18 06:49:56|база только 10 мин октрывается.
white_fox1|2013/03/18 06:51:36|по времени оки понятно
white_fox1|2013/03/18 06:51:54|у меня то просто база открываетя на раз два
iabbliz|2013/03/18 06:52:24|да сейчас поправлю
white_fox1|2013/03/18 06:52:48|и всегда ставь фактическое время свое в комментариях пиши что мол так и так...
