author|0|body_xml
iabbliz|2013/02/12 05:24:42|Напиши как появишься
xxxdarkdeadxx|2013/02/05 10:07:26|привет ну что когда в гости ждать тебя
iabbliz|2013/02/05 10:07:42|Привет=)
iabbliz|2013/02/05 12:02:38|Саня
iabbliz|2013/02/05 12:02:39|тут?
xxxdarkdeadxx|2013/02/05 12:02:53|яяя зе гуд
iabbliz|2013/02/05 12:03:04|а если на неделю прийдется остановится?
xxxdarkdeadxx|2013/02/05 12:03:26|да хоть на месяц
xxxdarkdeadxx|2013/02/05 12:04:08|просто то я не смогу все время тебя тут сопровождать работа
iabbliz|2013/02/05 12:04:26|зачем меня сопровождать
xxxdarkdeadxx|2013/02/05 12:04:29|дам йпад и будешь с ним ходить
iabbliz|2013/02/05 12:04:34|в будни я буду на работе
iabbliz|2013/02/05 12:04:42|устраиватся и т.п.
iabbliz|2013/02/05 12:04:59|поидее ориентировочно на выходных приеду
xxxdarkdeadxx|2013/02/05 12:05:03|не понял ты что в москву решил перебраться
iabbliz|2013/02/05 12:05:09|нет
iabbliz|2013/02/05 12:05:14|просто на оформление документов
iabbliz|2013/02/05 12:05:32|плюс они просят чтобы на недельку остался познакомился
xxxdarkdeadxx|2013/02/05 12:05:33|так ты же в алмазе работаешь или уже нет
iabbliz|2013/02/05 12:05:38|всмысле всего на недельку
iabbliz|2013/02/05 12:05:43|последняя неделя пошла
iabbliz|2013/02/05 12:06:06|на алмазе
iabbliz|2013/02/05 12:06:12|короче до пятницы на Алмазе
xxxdarkdeadxx|2013/02/05 12:06:26|а потом куда на новую
iabbliz|2013/02/05 12:06:32|да
xxxdarkdeadxx|2013/02/05 12:06:36|удаленно работать
iabbliz|2013/02/05 12:06:39|ага
xxxdarkdeadxx|2013/02/05 12:06:51|так бы и сказал сразу
iabbliz|2013/02/05 12:07:02|вроде говорил=)
iabbliz|2013/02/05 12:07:05|или забыл?
xxxdarkdeadxx|2013/02/05 12:07:07|нет
iabbliz|2013/02/05 12:07:35|Ты на выходных как работаешь?
iabbliz|2013/02/05 12:07:37|на этих
iabbliz|2013/02/05 12:07:50|Суб Восрк всмысле
xxxdarkdeadxx|2013/02/05 12:07:56|я в субботу с ночи прихожу
xxxdarkdeadxx|2013/02/05 12:08:09|тоесть суббота и воскресенья выходные
iabbliz|2013/02/05 12:08:21|если в воскресенье приеду встретишь?
xxxdarkdeadxx|2013/02/05 12:08:35|я и в субботу могу встреть
iabbliz|2013/02/05 12:08:42|лучше тогда в воскресень
xxxdarkdeadxx|2013/02/05 12:09:05|ты только скажи на чем поедишь
iabbliz|2013/02/05 12:09:20|хотел на автобусе
iabbliz|2013/02/05 12:09:25|Транслюкс
xxxdarkdeadxx|2013/02/05 12:09:56|не советовал бы в воскресенье вечером приезжать попадешь в пробку большую
xxxdarkdeadxx|2013/02/05 12:10:27|транслюкс у нас приходить утром есть в воскресенье
iabbliz|2013/02/05 12:10:59|хорошо
xxxdarkdeadxx|2013/02/05 12:11:06|в субботу садиться надо на вечерьний
iabbliz|2013/02/05 12:11:10|понял
iabbliz|2013/02/05 12:11:15|а обратно как лучше?
xxxdarkdeadxx|2013/02/05 12:11:26|на нем же и поедишь
xxxdarkdeadxx|2013/02/05 12:11:34|посажу если что
iabbliz|2013/02/05 12:11:41|понял
xxxdarkdeadxx|2013/02/05 12:12:47|лучше дома купи туда и обратно билеты тут можешь не купить бывает такое
iabbliz|2013/02/05 12:13:55|я так и хотел
xxxdarkdeadxx|2013/02/05 12:14:56|как купишь скажешь во сколько приходит точно он в москву
iabbliz|2013/02/05 12:15:04|хорошо
xxxdarkdeadxx|2013/02/05 12:15:34|у нас зима еще если что)))))))))
iabbliz|2013/02/05 12:15:43|хорошо
iabbliz|2013/02/05 12:40:20|Добролюбова, дом 3, стр. 3
iabbliz|2013/02/05 12:40:23|далеко от тебя?
xxxdarkdeadxx|2013/02/05 12:42:07|Сейчас гляну
xxxdarkdeadxx|2013/02/05 12:42:59|Да
xxxdarkdeadxx|2013/02/05 12:44:35|35 минут на метро и там пешком
xxxdarkdeadxx|2013/02/05 12:45:33|От меня мешком до метро 6 минут ходьбы а там не знаю
iabbliz|2013/02/05 12:47:21|у тебя станция метро как называется?
xxxdarkdeadxx|2013/02/05 12:47:30|Сходненская
xxxdarkdeadxx|2013/02/05 12:54:45|Красная ветка пред последняя станция
iabbliz|2013/02/05 12:56:22|увидел
xxxdarkdeadxx|2013/02/05 12:57:51|Живу лица фомичевой дом 7 корпус 2
xxxdarkdeadxx|2013/02/05 12:58:37|А на алмазе что надоело уже
iabbliz|2013/02/05 12:59:18|&quot;Живу лица&quot; =)))
iabbliz|2013/02/05 12:59:24|потом расскажу
xxxdarkdeadxx|2013/02/05 13:00:52|Ну давай
iabbliz|2013/02/12 08:52:16|По скайпу позвоню?
xxxdarkdeadxx|2013/02/12 08:52:24|я дома
xxxdarkdeadxx|2013/02/12 08:52:27|звони
iabbliz|2013/02/12 08:56:28|<a href="http://razdolie.ru/">http://razdolie.ru/</a>
iabbliz|2013/02/12 09:03:17|arhceage
iabbliz|2013/02/12 09:03:22|archage
iabbliz|2013/02/06 12:25:50|Тут?
iabbliz|2013/02/06 12:25:52|Привет
xxxdarkdeadxx|2013/02/06 12:26:05|Привет тут
iabbliz|2013/02/06 12:26:16|вообщем переносится на след. неделю
iabbliz|2013/02/06 12:26:28|как ты работаешь на след. выходных?
iabbliz|2013/02/06 12:26:36|которые 16, 17 февраля
xxxdarkdeadxx|2013/02/06 12:26:45|Сек надо посчитать
xxxdarkdeadxx|2013/02/06 12:27:48|В воскресенье я приду с ночи так уж смотри можешь и в субботу утром приехать
iabbliz|2013/02/06 12:28:13|лучше когда
iabbliz|2013/02/06 12:28:23|в субботу или в воскресенье?
xxxdarkdeadxx|2013/02/06 12:29:18|В субботу потому что я с ночной в город попаду только 8 часов утра + 1 час до вокзала ехать
iabbliz|2013/02/06 12:29:33|ок в субботу
iabbliz|2013/02/06 12:29:40|т.е. выезжать в пятницу вечером
iabbliz|2013/02/06 12:29:42|так?
xxxdarkdeadxx|2013/02/06 12:29:46|Да
iabbliz|2013/02/06 12:29:58|слушай а 23 24 числа
iabbliz|2013/02/06 12:29:59|как работаешь?
xxxdarkdeadxx|2013/02/06 12:30:08|Сек
xxxdarkdeadxx|2013/02/06 12:31:04|23 я в день а 24 в ночь бери обратно на 24 число только тогда могу посадить тебя на автобус
iabbliz|2013/02/06 12:31:44|понял
xxxdarkdeadxx|2013/02/06 12:32:41|Не забудь сказать во сколько приезжает и куда автобус а то я уже давно не ездил может поменяли вокзал
iabbliz|2013/02/06 12:36:00|хорошо
iabbliz|2013/02/13 16:11:59|Привет
iabbliz|2013/02/13 16:12:01|получил смс?
iabbliz|2013/03/29 19:07:00|Привет
iabbliz|2013/03/29 19:07:05|а я вот работаю
xxxdarkdeadxx|2013/03/29 19:07:39|а я сссссиииижууууу пиво пьюююююююю
iabbliz|2013/03/29 19:07:54|=)))
xxxdarkdeadxx|2013/03/29 19:08:49|компанию не хочешь составить а то уже все спать ушли а я решил попить пивка
iabbliz|2013/03/29 19:10:08|а мне че не взял
iabbliz|2013/03/29 19:10:11|я уже все выпил
xxxdarkdeadxx|2013/03/29 19:11:41|я думаю тебе тоже хватит урешил напиться просто правда я с ночи и спал всего пару часов поэтому меня уже взяло хорошо даже моя Юляшка сказала я уже пьяный))))))))
xxxdarkdeadxx|2013/03/29 19:12:52|я себе купил столик и стул поэтому тоже нормально стало
iabbliz|2013/03/29 19:13:13|=)))
iabbliz|2013/03/29 19:13:18|не фига
iabbliz|2013/03/29 19:13:21|давай еще пива мне
xxxdarkdeadxx|2013/03/29 19:14:03|сколько угодня я взял своего чешского разливного поэтому не буду болеть завтра
xxxdarkdeadxx|2013/03/29 19:14:20|сори за ошибки пьяный
xxxdarkdeadxx|2013/03/29 19:16:20|еще 2,5 месяца и отпуск поеду на море отдыхать Юляшкой
iabbliz|2013/03/29 19:19:27|=))
xxxdarkdeadxx|2013/03/29 19:21:31|у нас так достала зима уже сил нет видеть этот долбаный снег и терпеть эти морозы
iabbliz|2013/03/29 19:22:41|у нас снега тоже валом
xxxdarkdeadxx|2013/03/29 19:23:19|не такие сугробы как у нас
xxxdarkdeadxx|2013/03/29 19:24:38|я в линейку начал играть)))))) танки задрали уже
iabbliz|2013/04/03 06:01:55|привет
xxxdarkdeadxx|2013/04/03 06:02:22|слушай а рецепт на арку нельзя выбить только через квест можно получить
iabbliz|2013/04/03 06:02:34|задрот)
